   0  0 -20.00  13 1 L L  0.257   5.1
   1  0 -47.00   1 1 R R  0.421   6.1
   2  0 -47.00   1 1 L L  0.279   6.9
   3  0 -47.00   1 0 L R  0.310   7.8
   4  0 -43.23   1 1 L L  0.215   8.6
   5  0 -44.03   1 1 R R  0.216   9.4
   6  0 -44.47   1 0 R L  0.280  10.1
   7  0 -41.42   1 1 R R  0.251  11.0
   8  0 -41.93   1 1 L L  0.317  11.9
   9  0 -42.22   1 1 R R  0.243  12.5
  10  0 -42.51   1 1 L L  0.315  13.4
  11  0 -42.73   1 0 L R  0.254  14.1
  12  0 -40.99   1 1 L L  0.180  14.7
  13  0 -41.21   1 0 L R  0.201  15.5
  14  0 -39.32   1 0 R L  0.265  16.2
  15  0 -34.98   2 1 L L  0.202  16.9
  16  0 -36.07   2 1 L L  0.193  17.5
  17  0 -36.57   2 1 R R  0.267  18.3
  18  0 -36.94   2 1 R R  0.243  19.1
  19  0 -37.23   2 1 R R  0.209  19.8
  20  0 -37.51   2 1 R R  0.171  20.4
  21  0 -37.73   2 0 L R  0.171  21.1
  22  0 -36.14   2 1 L L  0.226  21.9
  23  0 -36.28   2 1 R R  0.214  22.6
  24  0 -36.43   2 1 L L  0.254  23.3
  25  0 -36.57   2 0 L R  0.238  24.0
  26  0 -35.34   2 0 R L  0.192  24.8
  27  0 -33.89   3 1 L L  0.201  25.6
  28  0 -34.11   3 1 R R  0.204  26.3
  29  0 -34.26   2 1 R R  0.275  27.0
  30  0 -34.40   2 1 R R  0.160  27.7
  31  0 -34.47   2 1 L L  0.214  28.4
  32  0 -34.62   2 1 L L  0.281  29.2
  33  0 -34.69   2 1 R R  0.175  29.8
  34  0 -34.76   2 1 L L  0.213  30.5
  35  0 -34.84   2 1 R R  0.256  31.2
  36  0 -34.91   2 1 L L  0.274  32.0
  37  0 -34.98   2 1 R R  0.212  32.7
  38  0 -35.05   2 1 R R  0.354  33.6
  39  0 -35.13   2 1 R R  0.284  34.4
  40  0 -35.20   2 1 L L  0.315  35.2
  41  0 -35.27   2 1 R R  0.228  35.9
  42  0 -35.34   2 1 L L  0.178  36.6
  43  0 -35.41   2 1 L L  0.292  37.4
  44  0 -35.41   2 1 R R  0.215  38.1
  45  0 -35.49   2 1 L L  0.205  38.8
  46  0 -35.56   2 1 L L  0.296  39.6
  47  0 -35.56   2 1 L L  0.305  40.4
  48  0 -35.63   2 1 R R  0.280  41.2
  49  0 -35.70   2 1 R R  0.299  42.0
  50  0 -35.70   2 1 R R  0.300  42.8
  51  0 -35.78   2 1 L L  0.300  43.5
  52  0 -35.78   2 1 R R  0.216  44.3
  53  0 -35.85   2 1 L L  0.208  45.0
  54  0 -35.85   2 1 R R  0.264  45.7
  55  0 -35.92   2 1 L L  0.262  46.5
  56  0 -35.92   2 1 R R  0.241  47.3
  57  0 -35.99   2 1 L L  0.217  48.0
  58  0 -35.99   2 1 R R  0.239  48.7
  59  0 -36.07   2 1 R R  0.330  49.5
  60  0 -36.07   2 1 R R  0.256  50.3
  61  0 -36.14   2 1 R R  0.292  51.1
  62  0 -36.14   2 0 L R  0.213  51.9
  63  0 -35.85   2 1 R R  0.303  53.1
  64  0 -35.85   2 1 R R  0.260  53.9
  65  0 -35.85   2 1 R R  0.284  54.8
  66  0 -35.92   2 1 L L  0.249  55.6
  67  0 -35.92   2 1 L L  0.268  56.4
  68  0 -35.99   2 1 R R  0.253  57.2
  69  0 -35.99   2 1 R R  0.289  58.1
  70  0 -35.99   2 1 L L  0.275  58.9
  71  0 -36.07   2 1 L L  0.327  59.7
  72  0 -36.07   2 1 R R  0.215  60.4
  73  0 -36.07   2 1 R R  0.341  61.3
  74  0 -36.14   2 1 R R  0.332  62.2
  75  0 -36.14   2 1 R R  0.257  63.0
  76  0 -36.14   2 1 L L  0.325  63.8
  77  0 -36.21   2 1 L L  0.353  64.7
  78  0 -36.21   2 1 R R  0.219  65.4
  79  0 -36.21   2 1 R R  0.251  66.2
  80  0 -36.28   2 1 R R  0.307  67.0
  81  0 -36.28   2 1 R R  0.202  67.8
  82  0 -36.28   2 1 L L  0.234  68.5
  83  0 -36.36   2 1 L L  0.317  69.4
  84  0 -36.36   2 1 L L  0.304  70.2
  85  0 -36.36   2 1 R R  0.202  70.9
  86  0 -36.43   2 1 R R  0.270  71.6
  87  0 -36.43   2 1 L L  0.303  72.5
  88  0 -36.43   2 1 L L  0.354  73.4
  89  0 -36.43   2 1 L L  0.282  74.1
  90  0 -36.50   2 1 L L  0.252  74.9
  91  0 -36.50   2 1 R R  0.295  75.7
  92  0 -36.50   2 1 R R  0.216  76.5
  93  0 -36.57   2 1 R R  0.255  77.2
  94  0 -36.57   2 1 R R  0.242  77.9
  95  0 -36.57   2 1 R R  0.234  78.7
  96  0 -36.57   2 1 R R  0.305  79.6
  97  0 -36.65   2 1 R R  0.241  80.3
  98  0 -36.65   2 1 L L  0.318  81.1
  99  0 -36.65   2 1 R R  0.352  81.9
