   0  0 -20.00  13 1 L L  0.488   2.7
   1  0 -47.00   1 0 L R  0.565   7.1
   2  0 -24.26   8 1 L L  0.264   8.0
   3  0 -28.10   5 1 R R  0.259   8.8
   4  0 -31.43   3 1 R R  0.377   9.7
   5  0 -34.18   2 0 R L  0.407  10.6
   6  0 -29.62   4 1 L L  0.364  11.5
   7  0 -30.20   4 1 R R  0.250  12.3
   8  0 -30.64   4 1 L L  0.314  13.2
   9  0 -31.00   4 1 R R  0.333  14.0
  10  0 -31.29   3 1 R R  0.412  15.0
  11  0 -31.50   3 1 L L  0.516  16.0
  12  0 -31.72   3 1 R R  0.286  16.8
  13  0 -31.94   3 1 L L  0.659  18.0
  14  0 -32.16   3 1 L L  0.376  18.8
  15  0 -32.30   3 1 L L  0.646  20.0
  16  0 -32.45   3 0 L R  0.418  20.9
  17  0 -31.29   3 0 L R  0.362  21.8
  18  0 -30.20   4 0 R L  0.316  22.7
  19  0 -29.04   5 0 L R  0.405  23.8
  20  0 -27.52   5 1 R R  0.315  24.7
  21  0 -27.74   5 1 L L  0.320  25.6
  22  0 -27.88   5 1 R R  0.262  26.4
  23  0 -28.03   5 1 R R  0.265  27.2
  24  0 -28.10   5 1 L L  0.290  28.1
  25  0 -28.25   5 1 R R  0.279  28.9
  26  0 -28.32   5 1 R R  0.265  29.7
  27  0 -28.46   5 1 R R  0.278  30.5
  28  0 -28.54   5 1 L L  0.343  31.4
  29  0 -28.61   5 1 R R  0.498  32.4
  30  0 -28.68   5 1 L L  0.315  33.3
  31  0 -28.75   5 1 R R  0.371  34.2
  32  0 -28.83   5 1 R R  1.069  35.8
  33  0 -28.90   5 1 L L  0.259  36.6
  34  0 -28.90   5 1 R R  0.266  37.4
  35  0 -28.97   5 1 L L  0.263  38.2
  36  0 -29.04   5 1 L L  0.291  39.1
  37  0 -29.12   4 1 L L  0.275  39.9
  38  0 -29.12   4 1 L L  0.352  40.8
  39  0 -29.19   4 1 R R  0.316  41.7
  40  0 -29.26   4 1 L L  0.241  42.4
  41  0 -29.26   4 1 L L  0.380  43.4
  42  0 -29.33   4 1 R R  0.287  44.2
  43  0 -29.41   4 1 R R  0.331  45.0
  44  0 -29.41   4 1 L L  0.277  45.8
  45  0 -29.48   4 1 L L  0.302  46.7
  46  0 -29.48   4 1 R R  0.280  47.5
  47  0 -29.55   4 1 L L  0.256  48.3
  48  0 -29.55   4 1 R R  0.245  49.1
  49  0 -29.62   4 1 L L  0.242  49.9
  50  0 -29.62   4 1 R R  0.388  50.8
  51  0 -29.69   4 1 R R  0.379  51.7
  52  0 -29.69   4 1 R R  0.302  52.6
  53  0 -29.77   4 1 L L  0.280  53.4
  54  0 -29.77   4 1 L L  0.310  54.3
  55  0 -29.84   4 1 L L  0.245  55.0
  56  0 -29.84   4 1 L L  0.255  55.8
  57  0 -29.91   4 1 L L  0.301  56.7
  58  0 -29.91   4 1 L L  0.293  57.5
  59  0 -29.91   4 1 L L  0.305  58.4
  60  0 -29.98   4 1 L L  0.929  60.0
  61  0 -29.98   4 1 R R  0.251  60.8
  62  0 -30.06   4 1 L L  0.728  62.1
  63  0 -30.06   4 1 L L  0.625  63.2
  64  0 -30.06   4 1 L L  0.366  64.2
  65  0 -30.13   4 1 R R  0.392  65.1
  66  0 -30.13   4 1 R R  0.572  66.2
  67  0 -30.13   4 1 L L  0.251  67.0
  68  0 -30.20   4 1 R R  0.316  67.9
  69  0 -30.20   4 1 R R  0.366  68.8
  70  0 -30.27   4 1 R R  0.431  69.7
  71  0 -30.27   4 1 R R  0.429  70.7
  72  0 -30.27   4 1 R R  0.376  71.6
  73  0 -30.35   4 1 R R  0.353  72.5
  74  0 -30.35   4 1 R R  0.345  73.3
  75  0 -30.35   4 1 L L  0.450  74.3
  76  0 -30.42   4 1 L L  0.624  75.5
  77  0 -30.42   4 1 L L  0.415  76.5
  78  0 -30.42   4 1 L L  0.403  77.4
  79  0 -30.42   4 1 R R  0.319  78.2
  80  0 -30.49   4 1 R R  0.376  79.1
  81  0 -30.49   4 1 L L  0.286  80.0
  82  0 -30.49   4 1 R R  0.343  80.9
  83  0 -30.56   4 1 L L  0.330  81.8
  84  0 -30.56   4 1 R R  0.351  82.7
  85  0 -30.56   4 1 R R  0.576  83.8
  86  0 -30.64   4 1 R R  0.289  84.6
  87  0 -30.64   4 1 L L  0.301  85.4
  88  0 -30.64   4 1 L L  0.392  86.3
  89  0 -30.64   4 1 L L  0.438  87.3
  90  0 -30.71   4 1 R R  0.369  88.2
  91  0 -30.71   4 1 L L  0.328  89.0
  92  0 -30.71   4 1 L L  0.386  90.0
  93  0 -30.71   4 1 R R  0.284  90.8
  94  0 -30.78   4 1 R R  0.291  91.6
  95  0 -30.78   4 1 R R  0.382  92.6
  96  0 -30.78   4 1 L L  0.306  93.4
  97  0 -30.78   4 1 L L  0.374  94.3
  98  0 -30.85   4 1 R R  0.441  95.2
  99  0 -30.85   4 1 L L  0.352  96.2
