   0  0 -20.00  13 1 R R  0.574  11.7
   1  0 -47.00   1 0 L R  0.314  12.6
   2  0 -24.26   8 1 R R  0.238  13.4
   3  0 -28.10   5 1 L L  0.254  14.2
   4  0 -31.43   3 1 L L  0.228  15.0
   5  0 -34.18   2 0 L R  0.340  15.9
   6  0 -29.62   4 1 R R  0.254  16.7
   7  0 -30.20   4 1 R R  0.243  17.4
   8  0 -30.64   4 1 R R  0.258  18.2
   9  0 -31.00   4 1 R R  0.229  19.0
  10  0 -31.29   3 1 L L  0.309  19.8
  11  0 -31.50   3 1 R R  0.251  20.6
  12  0 -31.72   3 1 L L  0.238  21.4
  13  0 -31.94   3 1 R R  0.227  22.1
  14  0 -32.16   3 1 R R  0.290  22.9
  15  0 -32.30   3 1 L L  0.202  23.6
  16  0 -32.45   3 1 L L  0.322  24.5
  17  0 -32.59   3 1 R R  0.252  25.3
  18  0 -32.74   3 1 L L  0.341  26.2
  19  0 -32.88   3 1 R R  0.264  27.0
  20  0 -33.03   3 1 R R  0.291  27.8
  21  0 -33.10   3 1 L L  0.300  28.6
  22  0 -33.24   3 1 R R  0.304  29.5
  23  0 -33.39   3 1 R R  0.412  30.4
  24  0 -33.46   3 1 L L  0.240  31.2
  25  0 -33.53   3 1 R R  0.427  32.1
  26  0 -33.68   3 1 L L  0.337  33.1
  27  0 -33.75   3 1 L L  0.365  33.9
  28  0 -33.82   3 1 L L  0.375  34.8
  29  0 -33.89   3 0 L R  0.252  35.6
  30  0 -33.17   3 1 L L  0.277  36.7
  31  0 -33.24   3 0 R L  0.821  38.0
  32  0 -32.59   3 1 R R  0.279  38.8
  33  0 -32.66   3 1 L L  0.383  39.7
  34  0 -32.74   3 1 L L  0.304  40.5
  35  0 -32.81   3 1 L L  0.276  41.3
  36  0 -32.81   3 1 R R  0.277  42.2
  37  0 -32.88   3 1 L L  0.318  43.0
  38  0 -32.95   3 1 R R  0.215  43.8
  39  0 -32.95   3 1 L L  0.264  44.5
  40  0 -33.03   3 1 L L  0.318  45.4
  41  0 -33.10   3 1 L L  0.253  46.2
  42  0 -33.10   3 1 L L  0.254  47.0
  43  0 -33.17   3 1 R R  0.275  47.8
  44  0 -33.17   3 1 L L  0.273  48.6
  45  0 -33.24   3 1 L L  0.339  49.5
  46  0 -33.24   3 1 L L  0.232  50.3
  47  0 -33.32   3 1 R R  0.279  51.1
  48  0 -33.32   3 1 L L  0.217  51.8
  49  0 -33.39   3 1 R R  0.280  52.7
  50  0 -33.39   3 0 R L  0.216  53.4
  51  0 -33.03   3 1 L L  0.240  54.4
  52  0 -33.10   3 1 R R  0.266  55.1
  53  0 -33.10   3 0 R L  0.206  55.9
  54  0 -32.81   3 1 L L  0.239  56.8
  55  0 -32.81   3 1 L L  0.266  57.6
  56  0 -32.81   3 1 R R  0.331  58.5
  57  0 -32.88   3 1 R R  0.318  59.4
  58  0 -32.88   3 1 L L  0.277  60.3
  59  0 -32.95   3 1 R R  0.279  61.1
  60  0 -32.95   3 1 R R  0.333  61.9
  61  0 -32.95   3 1 L L  0.168  62.7
  62  0 -33.03   3 1 R R  0.329  63.6
  63  0 -33.03   3 1 L L  0.228  64.3
  64  0 -33.03   3 1 R R  0.324  65.2
  65  0 -33.10   3 1 L L  0.256  65.9
  66  0 -33.10   3 1 R R  0.257  66.7
  67  0 -33.10   3 1 L L  0.199  67.4
  68  0 -33.17   3 1 R R  0.258  68.2
  69  0 -33.17   3 1 R R  0.301  69.1
  70  0 -33.17   3 1 R R  0.278  69.9
  71  0 -33.24   3 1 L L  0.281  70.7
  72  0 -33.24   3 1 R R  0.275  71.6
  73  0 -33.24   3 1 R R  0.605  72.7
  74  0 -33.32   3 1 R R  0.351  73.6
  75  0 -33.32   3 1 L L  0.239  74.4
  76  0 -33.32   3 1 R R  0.254  75.2
  77  0 -33.32   3 1 R R  0.438  76.1
  78  0 -33.39   3 1 L L  0.191  76.9
  79  0 -33.39   3 1 L L  0.379  77.8
  80  0 -33.39   3 1 L L  0.378  78.7
  81  0 -33.46   3 1 R R  0.288  79.5
  82  0 -33.46   3 1 L L  0.239  80.2
  83  0 -33.46   3 1 L L  0.340  81.1
  84  0 -33.46   3 1 R R  0.349  82.0
  85  0 -33.53   3 1 L L  0.303  82.8
  86  0 -33.53   3 1 L L  0.304  83.7
  87  0 -33.53   3 1 R R  0.426  84.6
  88  0 -33.53   3 1 L L  0.304  85.4
  89  0 -33.60   3 1 L L  0.326  86.3
  90  0 -33.60   3 1 L L  0.496  87.3
  91  0 -33.60   3 1 L L  0.353  88.2
  92  0 -33.60   3 1 R R  0.325  89.1
  93  0 -33.68   3 1 R R  0.401  89.9
  94  0 -33.68   3 1 L L  0.296  90.8
  95  0 -33.68   3 1 L L  0.375  91.7
  96  0 -33.68   3 1 R R  0.391  92.7
  97  0 -33.75   3 1 L L  0.253  93.5
  98  0 -33.75   3 1 R R  0.326  94.3
  99  0 -33.75   3 1 L L  0.227  95.1
