   0  0 -20.00  13 1 R R  1.205   3.5
   1  0 -47.00   1 1 L L  1.243   5.5
   2  0 -47.00   1 0 R L  0.451   6.5
   3  0 -25.64   7 1 R R  0.251   7.3
   4  0 -30.56   4 1 R R  0.219   8.0
   5  0 -34.69   2 1 L L  0.300   8.9
   6  0 -37.88   2 1 R R  0.254   9.6
   7  0 -40.19   1 1 R R  0.363  10.5
   8  0 -41.64   1 1 L L  1.234  12.2
   9  0 -42.51   1 1 R R  0.410  13.2
  10  0 -43.16   1 1 R R  0.456  14.2
  11  0 -43.60   1 0 R L  0.826  15.6
  12  0 -41.14   1 1 L L  1.207  17.4
  13  0 -41.42   1 0 R L  0.451  18.4
  14  0 -39.40   1 1 L L  0.454  19.4
  15  0 -39.61   1 1 L L  1.057  21.0
  16  0 -39.83   1 1 R R  0.324  22.0
  17  0 -40.05   1 0 L R  0.632  23.1
  18  0 -38.53   2 1 L L  0.360  24.0
  19  0 -38.67   1 1 L L  0.494  25.1
  20  0 -38.82   1 1 R R  0.330  26.0
  21  0 -38.96   1 1 L L  0.359  26.8
  22  0 -39.11   1 0 R L  0.487  27.8
  23  0 -38.02   2 1 R R  0.306  28.7
  24  0 -38.09   2 1 L L  0.492  29.7
  25  0 -38.24   2 1 R R  0.274  31.2
  26  0 -38.31   2 1 L L  0.337  32.1
  27  0 -38.38   2 1 L L  0.389  33.1
  28  0 -38.46   2 1 L L  0.289  33.9
  29  0 -38.60   1 1 L L  0.537  35.0
  30  0 -38.67   1 0 L R  0.474  36.1
  31  0 -37.95   2 1 L L  0.391  37.1
  32  0 -38.02   2 1 L L  0.341  37.9
  33  0 -38.09   2 1 R R  0.390  38.8
  34  0 -38.09   2 1 R R  0.333  39.7
  35  0 -38.17   2 1 L L  0.292  40.6
  36  0 -38.24   2 1 L L  0.330  41.4
  37  0 -38.31   2 1 R R  0.341  42.2
  38  0 -38.38   2 1 R R  0.414  43.1
  39  0 -38.38   2 1 L L  0.272  43.9
  40  0 -38.46   2 1 L L  0.350  44.8
  41  0 -38.53   2 1 L L  0.501  45.8
  42  0 -38.53   2 1 L L  0.379  46.7
  43  0 -38.60   1 1 R R  0.326  47.5
  44  0 -38.60   1 1 L L  0.328  48.3
  45  0 -38.67   1 1 R R  0.350  49.1
  46  0 -38.75   1 1 L L  0.328  50.0
  47  0 -38.75   1 1 R R  0.270  50.7
  48  0 -38.82   1 0 L R  0.526  51.7
  49  0 -38.38   2 1 R R  0.529  52.8
  50  0 -38.46   2 1 L L  0.279  53.6
  51  0 -38.46   2 1 R R  0.291  54.4
  52  0 -38.53   2 1 R R  0.395  55.3
  53  0 -38.53   2 1 L L  0.365  56.3
  54  0 -38.60   1 1 R R  0.388  57.2
  55  0 -38.60   1 1 L L  0.352  58.1
  56  0 -38.60   1 1 L L  0.352  58.9
  57  0 -38.67   1 0 L R  0.266  59.7
  58  0 -38.31   2 1 R R  0.846  61.3
  59  0 -38.38   2 1 R R  0.328  62.2
  60  0 -38.38   2 1 L L  0.328  63.1
  61  0 -38.46   2 1 R R  0.326  63.9
  62  0 -38.46   2 1 L L  0.331  64.8
  63  0 -38.46   2 0 R L  0.544  65.8
  64  0 -38.17   2 1 L L  0.341  66.7
  65  0 -38.24   2 1 R R  0.351  67.6
  66  0 -38.24   2 1 R R  0.337  68.4
  67  0 -38.24   2 1 L L  0.324  69.3
  68  0 -38.31   2 1 L L  0.405  70.2
  69  0 -38.31   2 1 R R  0.376  71.1
  70  0 -38.31   2 1 R R  0.426  72.1
  71  0 -38.38   2 1 R R  0.319  72.9
  72  0 -38.38   2 1 R R  0.303  73.7
  73  0 -38.38   2 1 L L  0.437  74.7
  74  0 -38.46   2 1 L L  0.589  75.8
  75  0 -38.46   2 1 R R  0.250  76.5
  76  0 -38.46   2 1 L L  0.343  77.5
  77  0 -38.53   2 1 R R  0.330  78.3
  78  0 -38.53   2 1 L L  0.302  79.1
  79  0 -38.53   2 1 R R  0.304  80.0
  80  0 -38.53   2 1 R R  0.401  80.8
  81  0 -38.60   1 1 L L  0.461  81.9
  82  0 -38.60   1 1 L L  0.523  82.9
  83  0 -38.60   1 1 R R  0.352  83.8
  84  0 -38.60   1 1 L L  0.298  84.7
  85  0 -38.67   1 0 L R  0.313  85.5
  86  0 -38.46   2 0 R L  0.324  86.4
  87  0 -38.24   2 1 L L  0.452  87.4
  88  0 -38.24   2 1 L L  0.402  88.3
  89  0 -38.31   2 1 R R  0.389  89.2
  90  0 -38.31   2 1 L L  0.328  90.1
  91  0 -38.31   2 1 R R  0.334  91.0
  92  0 -38.31   2 1 R R  0.300  91.8
  93  0 -38.38   2 1 L L  0.378  92.8
  94  0 -38.38   2 1 R R  0.365  93.7
  95  0 -38.38   2 1 R R  0.414  94.6
  96  0 -38.38   2 1 L L  0.362  95.5
  97  0 -38.46   2 1 L L  0.366  96.4
  98  0 -38.46   2 1 R R  0.400  97.3
  99  0 -38.46   2 1 L L  0.376  98.3
