   0  0 -20.00  13 1 L L  0.224  18.0
   1  0 -47.00   1 0 L R  0.299  18.8
   2  0 -24.26   8 1 L L  0.202  19.4
   3  0 -28.10   5 1 R R  0.213  20.1
   4  0 -31.43   3 1 R R  0.162  20.8
   5  0 -34.18   2 1 R R  0.213  21.4
   6  0 -36.43   2 1 R R  0.276  22.2
   7  0 -38.09   2 1 L L  0.289  22.9
   8  0 -39.32   1 1 R R  0.310  23.7
   9  0 -40.27   1 1 L L  0.251  24.4
  10  0 -40.99   1 1 L L  0.335  25.2
  11  0 -41.64   1 1 R R  0.203  25.9
  12  0 -42.15   1 0 L R  0.495  26.8
  13  0 -39.83   1 0 L R  0.222  27.5
  14  0 -37.73   2 1 L L  0.348  28.3
  15  0 -37.95   2 1 L L  0.262  29.0
  16  0 -38.17   2 0 L R  0.296  29.8
  17  0 -36.50   2 1 R R  0.300  30.5
  18  0 -36.65   2 1 L L  0.277  31.3
  19  0 -36.86   2 1 R R  0.227  32.0
  20  0 -37.01   2 1 R R  0.276  32.7
  21  0 -37.15   2 1 R R  0.223  33.4
  22  0 -37.23   2 0 L R  0.375  34.2
  23  0 -36.14   2 1 R R  0.277  34.9
  24  0 -36.28   2 1 L L  0.236  35.6
  25  0 -36.36   2 1 L L  0.337  36.4
  26  0 -36.43   2 1 L L  0.314  37.1
  27  0 -36.57   2 1 R R  0.212  37.8
  28  0 -36.65   2 1 R R  0.325  38.6
  29  0 -36.72   2 1 R R  0.382  39.5
  30  0 -36.79   2 1 L L  0.312  40.2
  31  0 -36.86   2 1 L L  0.351  41.1
  32  0 -36.94   2 0 L R  0.188  41.7
  33  0 -36.28   2 1 R R  0.372  42.6
  34  0 -36.36   2 1 L L  0.262  43.4
  35  0 -36.43   2 1 R R  0.285  44.2
  36  0 -36.43   2 1 L L  0.226  44.8
  37  0 -36.50   2 1 R R  0.215  45.5
  38  0 -36.57   2 1 R R  0.326  46.3
  39  0 -36.65   2 1 R R  0.299  47.1
  40  0 -36.65   2 1 R R  0.225  47.8
  41  0 -36.72   2 1 L L  0.261  48.6
  42  0 -36.72   2 1 R R  0.151  49.2
  43  0 -36.79   2 1 L L  0.312  50.0
  44  0 -36.86   2 1 R R  0.226  50.7
  45  0 -36.86   2 1 L L  0.336  51.6
  46  0 -36.94   2 1 R R  0.284  52.4
  47  0 -36.94   2 1 L L  0.350  53.2
  48  0 -37.01   2 1 R R  0.238  53.9
  49  0 -37.01   2 1 L L  0.286  54.7
  50  0 -37.08   2 1 R R  0.262  55.4
  51  0 -37.08   2 1 R R  0.286  56.2
  52  0 -37.15   2 1 R R  0.376  57.0
  53  0 -37.15   2 1 R R  0.297  57.8
  54  0 -37.23   2 1 L L  0.337  58.6
  55  0 -37.23   2 1 R R  0.202  59.4
  56  0 -37.23   2 1 L L  0.222  60.0
  57  0 -37.30   2 1 L L  0.351  60.9
  58  0 -37.30   2 1 L L  0.485  61.9
  59  0 -37.37   2 1 R R  0.266  62.6
  60  0 -37.37   2 1 L L  0.284  63.4
  61  0 -37.44   2 1 R R  0.261  64.1
  62  0 -37.44   2 1 R R  0.301  64.9
  63  0 -37.44   2 1 R R  0.296  65.9
  64  0 -37.51   2 1 R R  0.263  66.6
  65  0 -37.51   2 1 R R  0.188  67.3
  66  0 -37.51   2 1 L L  0.192  68.1
  67  0 -37.59   2 0 L R  0.187  68.8
  68  0 -37.30   2 1 R R  0.237  69.6
  69  0 -37.30   2 1 R R  0.273  70.4
  70  0 -37.37   2 1 L L  0.273  71.2
  71  0 -37.37   2 1 L L  0.406  72.1
  72  0 -37.37   2 1 L L  0.336  72.9
  73  0 -37.44   2 1 R R  0.212  73.6
  74  0 -37.44   2 1 R R  0.303  74.4
  75  0 -37.44   2 1 L L  0.237  75.1
  76  0 -37.51   2 0 L R  0.313  75.9
  77  0 -37.23   2 1 R R  0.236  76.7
  78  0 -37.30   2 1 R R  0.312  77.5
  79  0 -37.30   2 1 R R  0.312  78.3
  80  0 -37.30   2 1 L L  0.252  79.1
  81  0 -37.30   2 1 L L  0.315  79.8
  82  0 -37.37   2 1 L L  0.310  80.6
  83  0 -37.37   2 1 R R  0.212  81.3
  84  0 -37.37   2 1 L L  0.311  82.1
  85  0 -37.44   2 1 R R  0.198  82.8
  86  0 -37.44   2 1 R R  0.264  83.5
  87  0 -37.44   2 1 R R  0.275  84.3
  88  0 -37.44   2 1 R R  0.228  85.0
  89  0 -37.51   2 0 L R  0.302  85.8
  90  0 -37.30   2 1 L L  0.385  86.8
  91  0 -37.30   2 0 L R  0.320  87.6
  92  0 -37.15   2 1 R R  0.266  88.5
  93  0 -37.15   2 1 L L  0.264  89.3
  94  0 -37.15   2 1 R R  0.290  90.1
  95  0 -37.15   2 1 L L  0.263  90.8
  96  0 -37.15   2 1 R R  0.313  91.6
  97  0 -37.23   2 1 L L  0.299  92.3
  98  0 -37.23   2 1 L L  0.352  93.1
  99  0 -37.23   2 1 L L  0.351  94.0
