   0  0 -20.00  13 1 L L  0.248   6.8
   1  0 -47.00   1 1 L L  0.279   7.6
   2  0 -47.00   1 0 R L  0.429   8.5
   3  0 -25.64   7 1 L L  0.240   9.2
   4  0 -30.56   4 1 L L  0.224   9.9
   5  0 -34.69   2 1 L L  0.278  10.6
   6  0 -37.88   2 0 L R  0.225  11.4
   7  0 -32.95   3 1 R R  0.254  12.1
   8  0 -33.60   3 1 L L  0.237  12.8
   9  0 -34.11   3 1 R R  0.236  13.5
  10  0 -34.47   2 1 R R  0.218  14.1
  11  0 -34.76   2 1 R R  0.240  14.8
  12  0 -35.05   2 1 L L  0.249  15.5
  13  0 -35.27   2 1 L L  0.274  16.3
  14  0 -35.49   2 1 R R  0.250  17.0
  15  0 -35.70   2 1 R R  0.276  17.7
  16  0 -35.85   2 1 R R  0.249  18.4
  17  0 -36.07   2 1 L L  0.234  19.1
  18  0 -36.21   2 0 L R  0.223  19.7
  19  0 -35.05   2 1 L L  0.223  20.5
  20  0 -35.13   2 1 L L  0.252  21.2
  21  0 -35.27   2 1 R R  0.197  21.8
  22  0 -35.34   2 1 R R  0.262  22.5
  23  0 -35.41   2 1 R R  0.313  23.3
  24  0 -35.49   2 1 R R  0.236  23.9
  25  0 -35.63   2 1 R R  0.241  24.6
  26  0 -35.70   2 1 L L  0.214  25.4
  27  0 -35.78   2 1 L L  0.265  26.1
  28  0 -35.85   2 1 R R  0.225  26.7
  29  0 -35.92   2 1 R R  0.288  27.5
  30  0 -35.99   2 0 R L  0.239  28.1
  31  0 -35.34   2 1 R R  0.298  29.1
  32  0 -35.41   2 1 R R  0.289  29.8
  33  0 -35.49   2 1 L L  0.302  30.6
  34  0 -35.49   2 1 L L  0.350  31.4
  35  0 -35.56   2 1 R R  0.255  32.1
  36  0 -35.63   2 1 R R  0.278  32.8
  37  0 -35.63   2 1 L L  0.385  33.6
  38  0 -35.70   2 0 L R  0.219  34.3
  39  0 -35.27   2 1 R R  0.297  35.2
  40  0 -35.27   2 1 L L  0.263  35.9
  41  0 -35.34   2 1 R R  0.233  36.5
  42  0 -35.34   2 1 L L  0.269  37.3
  43  0 -35.41   2 1 L L  0.401  38.1
  44  0 -35.41   2 1 R R  0.347  38.9
  45  0 -35.49   2 1 L L  0.215  39.5
  46  0 -35.49   2 1 R R  0.237  40.2
  47  0 -35.56   2 1 L L  0.303  40.9
  48  0 -35.56   2 1 R R  0.261  41.7
  49  0 -35.63   2 1 L L  0.254  42.3
  50  0 -35.63   2 1 L L  0.286  43.1
  51  0 -35.70   2 1 R R  0.276  43.8
  52  0 -35.70   2 1 L L  0.212  44.4
  53  0 -35.78   2 1 L L  0.348  45.2
  54  0 -35.78   2 1 R R  0.199  45.9
  55  0 -35.78   2 1 L L  0.337  46.7
  56  0 -35.85   2 1 L L  0.449  47.5
  57  0 -35.85   2 1 L L  0.324  48.3
  58  0 -35.92   2 1 R R  0.238  49.0
  59  0 -35.92   2 1 L L  0.262  49.7
  60  0 -35.92   2 1 R R  0.262  50.4
  61  0 -35.99   2 1 R R  0.287  51.1
  62  0 -35.99   2 1 R R  0.239  51.8
  63  0 -35.99   2 1 R R  0.275  52.5
  64  0 -36.07   2 1 L L  0.360  53.3
  65  0 -36.07   2 0 L R  1.722  55.5
  66  0 -35.78   2 1 L L  0.274  56.6
  67  0 -35.85   2 1 L L  0.446  57.5
  68  0 -35.85   2 1 R R  0.276  58.3
  69  0 -35.85   2 1 R R  0.306  59.1
  70  0 -35.92   2 1 R R  0.276  59.8
  71  0 -35.92   2 1 R R  0.310  60.6
  72  0 -35.92   2 1 L L  0.224  61.2
  73  0 -35.99   2 1 L L  0.299  62.0
  74  0 -35.99   2 1 L L  0.346  62.8
  75  0 -35.99   2 0 L R  0.411  63.7
  76  0 -35.78   2 1 R R  0.273  64.8
  77  0 -35.78   2 1 L L  0.310  65.6
  78  0 -35.85   2 1 L L  0.581  66.6
  79  0 -35.85   2 1 R R  0.263  67.5
  80  0 -35.85   2 1 L L  0.313  68.2
  81  0 -35.85   2 1 R R  0.285  69.0
  82  0 -35.92   2 1 L L  0.286  69.8
  83  0 -35.92   2 1 R R  0.260  70.5
  84  0 -35.92   2 1 R R  0.324  71.3
  85  0 -35.92   2 1 R R  0.338  72.1
  86  0 -35.99   2 0 R L  0.265  72.8
  87  0 -35.78   2 1 L L  0.288  73.7
  88  0 -35.78   2 1 R R  0.251  74.5
  89  0 -35.78   2 1 R R  0.273  75.2
  90  0 -35.85   2 1 R R  0.321  76.0
  91  0 -35.85   2 1 R R  0.299  76.8
  92  0 -35.85   2 1 L L  0.336  77.6
  93  0 -35.85   2 1 R R  0.239  78.3
  94  0 -35.92   2 1 R R  0.335  79.1
  95  0 -35.92   2 1 L L  0.436  80.0
  96  0 -35.92   2 1 R R  0.263  80.7
  97  0 -35.92   2 1 R R  0.335  81.5
  98  0 -35.99   2 0 R L  0.479  82.4
  99  0 -35.78   2 1 R R  0.362  83.3
