   0  0 -20.00  13 1 R R  0.197   6.6
   1  0 -47.00   1 0 L R  0.552   7.7
   2  0 -24.26   8 1 R R  0.228   8.4
   3  0 -28.10   5 1 L L  0.254   9.1
   4  0 -31.43   3 1 L L  0.217   9.8
   5  0 -34.18   2 1 R R  0.266  10.5
   6  0 -36.43   2 1 L L  0.236  11.2
   7  0 -38.09   2 1 L L  0.282  12.0
   8  0 -39.32   1 1 R R  0.324  12.8
   9  0 -40.27   1 1 L L  0.227  13.6
  10  0 -40.99   1 0 R L  0.254  14.4
  11  0 -38.17   2 1 L L  0.289  15.2
  12  0 -38.53   2 1 R R  0.414  16.1
  13  0 -38.75   1 1 L L  0.323  16.8
  14  0 -38.96   1 1 L L  0.296  17.6
  15  0 -39.18   1 1 L L  0.314  18.4
  16  0 -39.32   1 1 L L  0.296  19.1
  17  0 -39.54   1 1 L L  0.361  20.0
  18  0 -39.69   1 0 L R  0.289  20.7
  19  0 -38.53   2 0 R L  0.308  21.6
  20  0 -37.37   2 1 L L  0.314  22.4
  21  0 -37.51   2 1 L L  0.264  23.1
  22  0 -37.59   2 1 L L  0.280  23.9
  23  0 -37.73   2 0 L R  0.301  24.7
  24  0 -36.72   2 1 R R  0.324  25.6
  25  0 -36.86   2 1 R R  0.300  26.4
  26  0 -36.94   2 1 L L  0.300  27.1
  27  0 -37.01   2 1 R R  0.279  27.9
  28  0 -37.08   2 1 L L  0.262  28.6
  29  0 -37.15   2 1 R R  0.223  29.3
  30  0 -37.23   2 1 R R  0.260  30.1
  31  0 -37.30   2 1 R R  0.237  30.9
  32  0 -37.37   2 1 R R  0.286  31.7
  33  0 -37.44   2 1 R R  0.401  32.6
  34  0 -37.51   2 1 R R  0.459  33.4
  35  0 -37.51   2 1 L L  0.289  34.4
  36  0 -37.59   2 1 L L  0.315  35.2
  37  0 -37.66   2 1 R R  0.348  36.1
  38  0 -37.73   2 1 L L  0.252  36.8
  39  0 -37.73   2 1 R R  0.247  37.5
  40  0 -37.80   2 1 R R  0.317  38.3
  41  0 -37.80   2 1 R R  0.329  39.2
  42  0 -37.88   2 1 L L  0.226  40.0
  43  0 -37.95   2 1 L L  0.295  40.7
  44  0 -37.95   2 1 L L  0.440  41.7
  45  0 -38.02   2 1 L L  0.255  42.4
  46  0 -38.02   2 0 L R  0.299  43.2
  47  0 -37.66   2 1 L L  0.316  44.2
  48  0 -37.66   2 1 L L  0.302  45.0
  49  0 -37.73   2 1 L L  0.333  45.8
  50  0 -37.73   2 1 R R  0.306  46.7
  51  0 -37.80   2 1 L L  0.306  47.5
  52  0 -37.80   2 1 L L  0.300  48.3
  53  0 -37.88   2 1 L L  0.400  49.3
  54  0 -37.88   2 0 R L  0.251  50.0
  55  0 -37.51   2 1 L L  0.442  51.1
  56  0 -37.59   2 1 R R  0.380  52.0
  57  0 -37.59   2 1 R R  0.363  52.8
  58  0 -37.66   2 1 L L  0.278  53.7
  59  0 -37.66   2 0 L R  0.388  54.6
  60  0 -37.37   2 1 L L  0.300  55.4
  61  0 -37.37   2 1 R R  0.287  56.2
  62  0 -37.44   2 1 R R  0.302  57.0
  63  0 -37.44   2 1 R R  0.300  57.8
  64  0 -37.44   2 1 R R  0.287  58.6
  65  0 -37.51   2 1 L L  0.252  59.4
  66  0 -37.51   2 1 L L  0.398  60.3
  67  0 -37.51   2 1 R R  0.263  61.1
  68  0 -37.59   2 1 L L  0.249  61.8
  69  0 -37.59   2 1 R R  0.446  62.8
  70  0 -37.59   2 1 R R  0.362  63.7
  71  0 -37.66   2 1 L L  0.280  64.5
  72  0 -37.66   2 1 L L  0.311  65.3
  73  0 -37.66   2 1 L L  0.361  66.1
  74  0 -37.73   2 0 R L  0.263  66.9
  75  0 -37.44   2 1 R R  0.301  67.8
  76  0 -37.51   2 1 R R  0.372  68.7
  77  0 -37.51   2 1 R R  0.263  69.5
  78  0 -37.51   2 1 L L  0.298  70.3
  79  0 -37.59   2 1 L L  0.386  71.2
  80  0 -37.59   2 0 L R  0.253  71.9
  81  0 -37.37   2 0 R L  0.435  72.9
  82  0 -37.15   2 1 R R  0.311  73.7
  83  0 -37.15   2 1 L L  0.249  74.4
  84  0 -37.15   2 1 R R  0.276  75.2
  85  0 -37.23   2 1 L L  0.253  76.0
  86  0 -37.23   2 1 L L  0.312  76.8
  87  0 -37.23   2 1 R R  0.285  77.6
  88  0 -37.23   2 1 L L  0.278  78.4
  89  0 -37.30   2 1 L L  0.349  79.3
  90  0 -37.30   2 1 L L  0.253  80.0
  91  0 -37.30   2 1 R R  0.228  80.7
  92  0 -37.30   2 1 L L  0.252  81.5
  93  0 -37.37   2 1 R R  0.226  82.2
  94  0 -37.37   2 1 R R  0.286  83.0
  95  0 -37.37   2 1 L L  0.241  83.7
  96  0 -37.37   2 0 L R  0.238  84.4
  97  0 -37.23   2 1 R R  0.291  85.2
  98  0 -37.23   2 1 R R  0.309  86.0
  99  0 -37.23   2 1 L L  0.436  89.2
