   0  0 -20.00  13 1 R R  0.223  11.3
   1  0 -47.00   1 0 R L  0.300  12.1
   2  0 -24.26   8 1 R R  0.193  12.8
   3  0 -28.10   5 1 R R  0.177  13.5
   4  0 -31.43   3 1 L L  0.232  14.2
   5  0 -34.18   2 1 L L  0.219  14.9
   6  0 -36.43   2 1 R R  0.233  15.6
   7  0 -38.09   2 1 R R  0.228  16.2
   8  0 -39.32   1 1 L L  0.255  17.0
   9  0 -40.27   1 0 R L  0.384  17.8
  10  0 -37.15   2 1 L L  0.291  18.5
  11  0 -37.51   2 1 R R  0.262  19.3
  12  0 -37.80   2 1 L L  0.330  20.0
  13  0 -38.02   2 1 R R  0.338  20.8
  14  0 -38.24   2 1 L L  0.289  21.5
  15  0 -38.46   2 0 L R  0.323  22.3
  16  0 -37.01   2 1 L L  0.388  23.2
  17  0 -37.15   2 0 L R  0.249  23.9
  18  0 -35.85   2 1 L L  0.278  24.7
  19  0 -35.99   2 1 R R  0.252  25.5
  20  0 -36.14   2 1 L L  0.254  26.2
  21  0 -36.21   2 1 R R  0.257  26.9
  22  0 -36.36   2 1 R R  0.316  27.7
  23  0 -36.43   2 1 R R  0.283  28.5
  24  0 -36.50   2 1 R R  0.316  29.3
  25  0 -36.65   2 1 L L  0.231  30.0
  26  0 -36.72   2 1 L L  0.368  30.9
  27  0 -36.79   2 1 R R  0.202  31.6
  28  0 -36.86   2 1 L L  0.224  32.3
  29  0 -36.94   2 1 L L  0.291  33.0
  30  0 -37.01   2 1 R R  0.237  33.8
  31  0 -37.01   2 1 L L  0.510  34.8
  32  0 -37.08   2 1 R R  0.477  36.1
  33  0 -37.15   2 1 R R  0.267  36.9
  34  0 -37.23   2 1 L L  0.362  37.7
  35  0 -37.23   2 1 L L  0.291  38.6
  36  0 -37.30   2 1 R R  0.337  39.5
  37  0 -37.37   2 1 L L  0.239  40.2
  38  0 -37.44   2 1 L L  0.330  41.0
  39  0 -37.44   2 1 R R  0.255  41.7
  40  0 -37.51   2 1 R R  0.252  42.5
  41  0 -37.51   2 1 R R  0.303  43.3
  42  0 -37.59   2 1 L L  0.287  44.0
  43  0 -37.66   2 1 R R  0.213  44.7
  44  0 -37.66   2 0 R L  0.228  45.5
  45  0 -37.23   2 1 R R  0.251  46.3
  46  0 -37.30   2 1 R R  0.264  47.0
  47  0 -37.30   2 1 L L  0.327  47.8
  48  0 -37.37   2 1 L L  0.386  48.7
  49  0 -37.37   2 1 L L  0.415  49.6
  50  0 -37.44   2 1 R R  0.193  50.2
  51  0 -37.44   2 1 R R  0.334  51.0
  52  0 -37.51   2 1 R R  0.289  51.8
  53  0 -37.51   2 1 L L  0.286  52.5
  54  0 -37.59   2 1 L L  0.301  53.3
  55  0 -37.59   2 1 R R  0.322  54.1
  56  0 -37.59   2 1 R R  0.303  54.8
  57  0 -37.66   2 1 R R  0.336  55.7
  58  0 -37.66   2 1 R R  0.286  56.4
  59  0 -37.73   2 1 L L  0.300  57.2
  60  0 -37.73   2 1 R R  0.249  57.9
  61  0 -37.73   2 1 R R  0.325  58.7
  62  0 -37.80   2 1 R R  0.338  59.5
  63  0 -37.80   2 1 R R  0.314  60.3
  64  0 -37.88   2 1 L L  0.289  61.1
  65  0 -37.88   2 0 L R  0.235  61.8
  66  0 -37.59   2 1 R R  0.238  62.6
  67  0 -37.59   2 1 R R  0.318  63.4
  68  0 -37.66   2 1 L L  0.307  64.2
  69  0 -37.66   2 1 L L  0.327  65.0
  70  0 -37.66   2 1 L L  0.390  65.8
  71  0 -37.73   2 1 L L  0.420  66.7
  72  0 -37.73   2 0 L R  0.227  67.4
  73  0 -37.51   2 1 R R  0.303  68.3
  74  0 -37.51   2 1 L L  0.226  69.0
  75  0 -37.51   2 1 L L  0.309  69.8
  76  0 -37.59   2 1 R R  0.267  70.5
  77  0 -37.59   2 1 L L  0.238  71.3
  78  0 -37.59   2 1 L L  0.288  72.0
  79  0 -37.59   2 1 L L  0.297  72.8
  80  0 -37.66   2 1 L L  0.474  73.8
  81  0 -37.66   2 1 R R  0.277  74.5
  82  0 -37.66   2 1 L L  0.300  75.3
  83  0 -37.73   2 1 R R  0.261  76.1
  84  0 -37.73   2 1 R R  0.285  76.9
  85  0 -37.73   2 1 R R  0.249  77.6
  86  0 -37.73   2 1 L L  0.227  78.3
  87  0 -37.80   2 1 R R  0.238  79.1
  88  0 -37.80   2 1 R R  0.312  79.9
  89  0 -37.80   2 1 L L  0.308  80.7
  90  0 -37.80   2 1 L L  0.324  81.5
  91  0 -37.88   2 1 L L  0.285  82.3
  92  0 -37.88   2 1 R R  0.319  83.1
  93  0 -37.88   2 1 L L  0.290  83.9
  94  0 -37.88   2 1 R R  0.267  84.6
  95  0 -37.88   2 1 R R  0.300  85.4
  96  0 -37.95   2 1 R R  0.238  86.2
  97  0 -37.95   2 1 L L  0.390  87.1
  98  0 -37.95   2 1 L L  0.333  87.9
  99  0 -37.95   2 1 R R  0.300  88.7
