   0  0 -20.00  13 1 L L  0.791   5.2
   1  0 -47.00   1 1 R R  0.389   6.3
   2  0 -47.00   1 1 L L  0.455   7.3
   3  0 -47.00   1 0 L R  0.375   8.3
   4  0 -43.23   1 0 L R  0.418   9.2
   5  0 -23.90   8 1 R R  0.306  10.1
   6  0 -27.38   5 1 R R  0.256  10.9
   7  0 -30.27   4 1 L L  0.267  11.7
   8  0 -32.66   3 1 L L  0.250  12.5
   9  0 -34.47   2 1 R R  0.281  13.4
  10  0 -35.85   2 1 R R  0.320  14.3
  11  0 -36.86   2 1 R R  0.290  15.0
  12  0 -37.66   2 0 R L  0.539  16.1
  13  0 -34.76   2 1 R R  0.267  16.9
  14  0 -35.13   2 1 L L  0.292  17.8
  15  0 -35.34   2 1 R R  0.253  18.6
  16  0 -35.56   2 1 L L  0.296  19.4
  17  0 -35.78   2 0 L R  0.240  20.2
  18  0 -34.26   2 1 R R  0.264  21.2
  19  0 -34.47   2 1 R R  0.335  22.0
  20  0 -34.62   2 1 L L  0.270  22.8
  21  0 -34.69   2 1 R R  0.254  23.6
  22  0 -34.84   2 1 L L  0.341  24.5
  23  0 -34.91   2 1 R R  0.251  25.3
  24  0 -35.05   2 1 R R  0.330  26.1
  25  0 -35.13   2 1 L L  0.301  27.0
  26  0 -35.20   2 1 R R  0.270  27.8
  27  0 -35.27   2 1 L L  0.264  28.6
  28  0 -35.34   2 1 R R  0.238  29.3
  29  0 -35.41   2 1 L L  0.391  30.2
  30  0 -35.49   2 1 L L  0.317  31.3
  31  0 -35.56   2 1 L L  0.415  32.2
  32  0 -35.63   2 1 R R  0.255  33.0
  33  0 -35.70   2 1 L L  0.253  33.7
  34  0 -35.78   2 1 L L  0.375  34.6
  35  0 -35.85   2 1 R R  0.264  35.4
  36  0 -35.92   2 1 R R  0.346  36.2
  37  0 -35.92   2 1 R R  0.315  37.1
  38  0 -35.99   2 1 R R  0.380  38.0
  39  0 -36.07   2 1 L L  0.351  38.9
  40  0 -36.14   2 1 R R  0.266  39.6
  41  0 -36.14   2 1 L L  0.367  40.5
  42  0 -36.21   2 1 R R  0.243  41.2
  43  0 -36.28   2 1 L L  0.379  42.1
  44  0 -36.28   2 1 L L  0.699  43.3
  45  0 -36.36   2 1 R R  0.204  44.0
  46  0 -36.36   2 1 L L  0.336  44.9
  47  0 -36.43   2 1 L L  0.577  46.0
  48  0 -36.50   2 0 L R  0.239  46.8
  49  0 -36.07   2 1 R R  0.263  47.9
  50  0 -36.07   2 1 R R  0.353  48.8
  51  0 -36.14   2 1 L L  0.277  49.6
  52  0 -36.14   2 1 L L  0.328  50.5
  53  0 -36.21   2 1 L L  0.256  51.3
  54  0 -36.21   2 1 R R  0.241  52.1
  55  0 -36.28   2 1 R R  0.320  52.9
  56  0 -36.28   2 1 L L  0.226  53.7
  57  0 -36.36   2 1 R R  0.241  54.5
  58  0 -36.36   2 1 L L  0.303  55.3
  59  0 -36.43   2 1 R R  0.341  56.2
  60  0 -36.43   2 1 R R  0.308  57.0
  61  0 -36.43   2 1 R R  0.264  57.8
  62  0 -36.50   2 1 L L  0.329  58.6
  63  0 -36.50   2 1 R R  0.308  59.4
  64  0 -36.57   2 1 L L  0.277  60.2
  65  0 -36.57   2 1 L L  0.329  61.1
  66  0 -36.57   2 0 L R  0.845  62.4
  67  0 -36.28   2 1 L L  0.259  63.2
  68  0 -36.36   2 1 R R  0.270  64.0
  69  0 -36.36   2 1 R R  0.288  64.8
  70  0 -36.36   2 1 L L  0.342  65.7
  71  0 -36.43   2 1 R R  0.255  66.5
  72  0 -36.43   2 1 L L  0.324  67.3
  73  0 -36.43   2 1 R R  0.302  68.3
  74  0 -36.50   2 1 R R  0.266  69.0
  75  0 -36.50   2 1 R R  0.287  69.8
  76  0 -36.50   2 1 R R  0.250  70.5
  77  0 -36.57   2 1 R R  0.268  71.3
  78  0 -36.57   2 1 R R  0.282  72.1
  79  0 -36.57   2 1 L L  0.309  72.9
  80  0 -36.65   2 1 R R  0.270  73.7
  81  0 -36.65   2 1 R R  0.314  74.5
  82  0 -36.65   2 0 L R  0.228  75.3
  83  0 -36.43   2 1 L L  0.475  76.5
  84  0 -36.43   2 1 L L  0.376  77.5
  85  0 -36.50   2 1 L L  0.337  78.3
  86  0 -36.50   2 1 L L  0.416  79.3
  87  0 -36.50   2 1 R R  0.462  80.4
  88  0 -36.50   2 1 L L  0.315  81.2
  89  0 -36.57   2 1 R R  0.252  82.1
  90  0 -36.57   2 1 R R  0.266  82.9
  91  0 -36.57   2 1 R R  0.252  83.6
  92  0 -36.57   2 1 R R  0.216  84.3
  93  0 -36.65   2 1 L L  0.351  85.2
  94  0 -36.65   2 1 L L  0.355  86.2
  95  0 -36.65   2 0 L R  0.559  87.3
  96  0 -36.43   2 1 R R  0.401  88.2
  97  0 -36.50   2 1 R R  0.252  89.0
  98  0 -36.50   2 1 R R  0.321  89.9
  99  0 -36.50   2 1 R R  0.288  90.7
