   0  0 -20.00  13 1 R R  0.314   4.2
   1  0 -47.00   1 1 R R  0.400   5.3
   2  0 -47.00   1 0 L R  0.419   6.3
   3  0 -25.64   7 1 R R  0.263   7.2
   4  0 -30.56   4 1 R R  0.303   8.1
   5  0 -34.69   2 1 R R  0.299   8.9
   6  0 -37.88   2 1 L L  0.408   9.9
   7  0 -40.19   1 1 R R  0.384  10.9
   8  0 -41.64   1 1 R R  0.409  11.9
   9  0 -42.51   1 0 R L  0.356  13.5
  10  0 -39.25   1 0 L R  0.442  14.6
  11  0 -35.99   2 1 R R  0.384  15.6
  12  0 -36.43   2 1 L L  0.342  16.5
  13  0 -36.79   2 1 R R  0.311  17.4
  14  0 -37.08   2 0 L R  0.356  18.3
  15  0 -35.13   2 1 R R  0.335  19.2
  16  0 -35.34   2 1 R R  0.319  20.1
  17  0 -35.56   2 1 L L  0.347  21.1
  18  0 -35.70   2 1 R R  0.321  21.9
  19  0 -35.85   2 1 R R  0.273  22.7
  20  0 -35.99   2 1 R R  0.382  23.7
  21  0 -36.14   2 1 L L  0.497  24.8
  22  0 -36.21   2 1 R R  0.285  25.8
  23  0 -36.36   2 1 L L  0.420  26.8
  24  0 -36.43   2 1 L L  0.407  27.8
  25  0 -36.50   2 0 L R  0.457  28.9
  26  0 -35.70   2 1 L L  0.297  29.8
  27  0 -35.78   2 1 R R  0.274  30.7
  28  0 -35.85   2 1 L L  0.296  31.5
  29  0 -35.92   2 1 L L  0.396  32.5
  30  0 -35.99   2 1 R R  0.272  33.4
  31  0 -36.07   2 1 R R  0.369  34.3
  32  0 -36.14   2 1 L L  0.360  35.2
  33  0 -36.14   2 1 R R  0.283  36.1
  34  0 -36.21   2 1 L L  0.664  37.3
  35  0 -36.28   2 1 L L  0.591  38.5
  36  0 -36.36   2 0 L R  0.296  39.4
  37  0 -35.78   2 1 L L  0.339  40.5
  38  0 -35.85   2 1 R R  0.333  41.4
  39  0 -35.92   2 1 L L  0.369  42.3
  40  0 -35.92   2 1 L L  0.368  43.2
  41  0 -35.99   2 1 L L  0.429  44.2
  42  0 -36.07   2 1 L L  0.380  45.3
  43  0 -36.07   2 1 R R  0.284  46.1
  44  0 -36.14   2 1 L L  0.298  46.9
  45  0 -36.14   2 1 R R  0.310  47.8
  46  0 -36.21   2 1 R R  0.382  48.7
  47  0 -36.21   2 1 L L  0.381  49.7
  48  0 -36.28   2 1 R R  0.285  50.5
  49  0 -36.28   2 1 L L  0.310  51.3
  50  0 -36.36   2 1 R R  0.297  52.1
  51  0 -36.36   2 1 L L  0.285  52.9
  52  0 -36.43   2 1 R R  0.299  53.8
  53  0 -36.43   2 0 L R  0.760  55.0
  54  0 -36.07   2 1 R R  0.305  55.8
  55  0 -36.14   2 1 L L  0.469  56.8
  56  0 -36.14   2 1 R R  0.359  57.8
  57  0 -36.21   2 1 L L  0.516  58.8
  58  0 -36.21   2 0 R L  0.711  60.0
  59  0 -35.92   2 1 L L  0.394  61.0
  60  0 -35.92   2 1 L L  0.372  61.9
  61  0 -35.99   2 1 R R  0.261  62.8
  62  0 -35.99   2 1 L L  0.419  63.8
  63  0 -35.99   2 1 L L  0.412  64.8
  64  0 -36.07   2 1 L L  0.526  66.0
  65  0 -36.07   2 1 R R  0.306  66.9
  66  0 -36.07   2 1 L L  0.394  67.8
  67  0 -36.14   2 1 L L  0.358  68.7
  68  0 -36.14   2 1 L L  0.381  69.7
  69  0 -36.14   2 1 L L  0.446  70.8
  70  0 -36.21   2 1 R R  0.235  71.6
  71  0 -36.21   2 1 L L  0.421  72.6
  72  0 -36.21   2 1 R R  0.272  73.5
  73  0 -36.28   2 1 L L  0.408  74.4
  74  0 -36.28   2 1 R R  0.293  75.3
  75  0 -36.28   2 1 L L  0.432  76.3
  76  0 -36.28   2 1 L L  0.380  77.3
  77  0 -36.36   2 1 L L  0.478  78.3
  78  0 -36.36   2 1 R R  0.358  79.3
  79  0 -36.36   2 0 R L  0.261  80.2
  80  0 -36.14   2 1 L L  0.416  81.5
  81  0 -36.21   2 1 L L  0.404  82.5
  82  0 -36.21   2 1 L L  0.396  83.6
  83  0 -36.21   2 1 L L  0.472  84.6
  84  0 -36.21   2 1 R R  0.334  85.5
  85  0 -36.28   2 1 R R  0.345  86.4
  86  0 -36.28   2 1 L L  0.454  87.4
  87  0 -36.28   2 1 R R  0.295  88.4
  88  0 -36.28   2 1 L L  0.319  89.4
  89  0 -36.36   2 1 L L  0.369  90.3
  90  0 -36.36   2 1 L L  0.494  91.4
  91  0 -36.36   2 1 R R  0.319  92.3
  92  0 -36.36   2 1 L L  0.326  93.2
  93  0 -36.43   2 1 L L  0.380  94.2
  94  0 -36.43   2 1 R R  0.263  95.0
  95  0 -36.43   2 1 R R  0.382  96.0
  96  0 -36.43   2 1 L L  0.395  97.0
  97  0 -36.43   2 1 L L  0.434  98.1
  98  0 -36.50   2 1 L L  0.515  99.2
  99  0 -36.50   2 1 L L  0.408 100.2
