time	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	1.114760e-05	8.098422e-03	0.000000e+00
7.534234395813129e-09	2.144644e-03	8.110988e-03	2.367039e-03
1.506846879162626e-08	4.274726e-03	8.087053e-03	4.733904e-03
2.260270318743939e-08	6.401395e-03	8.026616e-03	7.100595e-03
3.013693758325252e-08	8.524650e-03	7.929678e-03	9.467111e-03
3.767117197906565e-08	1.064449e-02	7.796238e-03	1.183345e-02
4.520540637487877e-08	1.276092e-02	7.626297e-03	1.419962e-02
5.273964077069189e-08	1.487393e-02	7.419854e-03	1.656562e-02
8.142875116779953e-08	2.285581e-02	5.955838e-03	2.557044e-02
1.193020552826170e-07	3.323181e-02	2.338631e-03	3.744476e-02
1.711544685635505e-07	4.710510e-02	-6.014666e-03	5.366618e-02
2.394946682381787e-07	6.478722e-02	-2.292196e-02	7.495584e-02
3.329917247676661e-07	8.802071e-02	-5.472516e-02	1.038509e-01
4.306479747676661e-07	1.112770e-01	-9.585344e-02	1.336472e-01
5.283042247676661e-07	1.335923e-01	-1.426909e-01	1.629404e-01
6.259604747676662e-07	1.550696e-01	-1.928070e-01	1.916205e-01
8.212729747676663e-07	1.956073e-01	-2.971783e-01	2.467116e-01
1.016585474767666e-06	2.326267e-01	-4.032609e-01	2.980919e-01
1.211897974767666e-06	2.655413e-01	-5.097196e-01	3.449887e-01
1.407210474767667e-06	2.937343e-01	-6.162787e-01	3.866966e-01
1.602522974767667e-06	3.166412e-01	-7.228788e-01	4.225881e-01
1.797835474767667e-06	3.337729e-01	-8.295043e-01	4.521236e-01
1.993147974767667e-06	3.447267e-01	-9.361492e-01	4.748586e-01
2.188460474767666e-06	3.491922e-01	-1.042809e+00	4.904514e-01
2.383772974767666e-06	3.469568e-01	-1.149481e+00	4.986673e-01
2.579085474767666e-06	3.379085e-01	-1.256160e+00	4.993828e-01
2.676741724767665e-06	3.308227e-01	-1.309501e+00	4.969201e-01
2.774397974767665e-06	3.220382e-01	-1.362843e+00	4.925871e-01
2.872054224767665e-06	3.115698e-01	-1.416184e+00	4.864002e-01
2.969710474767665e-06	2.994389e-01	-1.469524e+00	4.783825e-01
3.067366724767665e-06	2.856729e-01	-1.522862e+00	4.685643e-01
3.165022974767665e-06	2.703055e-01	-1.576196e+00	4.569825e-01
3.262679224767664e-06	2.533767e-01	-1.629523e+00	4.436808e-01
3.360335474767664e-06	2.349325e-01	-1.682838e+00	4.287091e-01
3.457991724767664e-06	2.150255e-01	-1.736128e+00	4.121239e-01
3.555647974767664e-06	1.937156e-01	-1.789364e+00	3.939875e-01
3.653304224767664e-06	1.710729e-01	-1.842470e+00	3.743683e-01
3.750960474767664e-06	1.471856e-01	-1.895259e+00	3.533400e-01
3.848616724767663e-06	1.221769e-01	-1.947261e+00	3.309818e-01
3.946272974767664e-06	9.623708e-02	-1.997401e+00	3.073779e-01
4.043929224767664e-06	6.965488e-02	-2.043602e+00	2.826170e-01
4.141585474767664e-06	4.281699e-02	-2.082646e+00	2.567925e-01
4.239241724767664e-06	1.614619e-02	-2.110711e+00	2.300015e-01
4.336897974767665e-06	-1.000115e-02	-2.124542e+00	2.023448e-01
4.434554224767665e-06	-3.542008e-02	-2.122569e+00	1.739265e-01
4.532210474767665e-06	-6.008650e-02	-2.105325e+00	1.448536e-01
4.629866724767665e-06	-8.412352e-02	-2.075131e+00	1.152355e-01
4.727522974767666e-06	-1.077266e-01	-2.035302e+00	8.518363e-02
4.825179224767666e-06	-1.310828e-01	-1.989183e+00	5.481119e-02
5.118147974767667e-06	-2.005257e-01	-1.835277e+00	-3.708320e-02
5.313460474767667e-06	-2.460672e-01	-1.729246e+00	-9.784108e-02
5.508772974767668e-06	-2.902416e-01	-1.622864e+00	-1.571274e-01
5.704085474767668e-06	-3.322641e-01	-1.516417e+00	-2.140503e-01
5.899397974767669e-06	-3.713611e-01	-1.409957e+00	-2.677537e-01
6.094710474767669e-06	-4.067999e-01	-1.303489e+00	-3.174298e-01
6.290022974767670e-06	-4.379018e-01	-1.197015e+00	-3.623315e-01
6.485335474767670e-06	-4.640534e-01	-1.090535e+00	-4.017834e-01
6.680647974767671e-06	-4.847156e-01	-9.840465e-01	-4.351921e-01
6.875960474767671e-06	-4.994320e-01	-8.775501e-01	-4.620551e-01
7.071272974767672e-06	-5.078357e-01	-7.710449e-01	-4.819684e-01
7.168929224767672e-06	-5.095813e-01	-7.177888e-01	-4.892211e-01
7.266585474767672e-06	-5.096545e-01	-6.645305e-01	-4.946325e-01
7.364241724767673e-06	-5.080365e-01	-6.112697e-01	-4.981821e-01
7.461897974767673e-06	-5.047153e-01	-5.580065e-01	-4.998567e-01
7.559554224767673e-06	-4.996853e-01	-5.047410e-01	-4.996500e-01
7.657210474767673e-06	-4.929470e-01	-4.514731e-01	-4.975627e-01
7.754866724767673e-06	-4.845076e-01	-3.982027e-01	-4.936027e-01
7.852522974767672e-06	-4.743807e-01	-3.449301e-01	-4.877849e-01
7.950179224767672e-06	-4.625861e-01	-2.916551e-01	-4.801311e-01
8.047835474767671e-06	-4.491500e-01	-2.383777e-01	-4.706703e-01
8.145491724767670e-06	-4.341048e-01	-1.850982e-01	-4.594380e-01
8.340804224767669e-06	-3.993465e-01	-7.853264e-02	-4.318344e-01
8.536116724767668e-06	-3.586884e-01	2.804093e-02	-3.977357e-01
8.731429224767667e-06	-3.125963e-01	1.346209e-01	-3.576546e-01
8.926741724767666e-06	-2.616186e-01	2.412000e-01	-3.121941e-01
9.122054224767665e-06	-2.063829e-01	3.477215e-01	-2.620379e-01
9.317366724767663e-06	-1.476356e-01	4.536555e-01	-2.079404e-01
9.415022974767663e-06	-1.172806e-01	5.054631e-01	-1.796660e-01
9.512679224767662e-06	-8.659457e-02	5.546790e-01	-1.507153e-01
9.610335474767662e-06	-5.597662e-02	5.982464e-01	-1.211974e-01
9.707991724767661e-06	-2.591516e-02	6.318549e-01	-9.122328e-02
9.805647974767660e-06	3.134858e-03	6.512443e-01	-6.090586e-02
9.903304224767660e-06	3.089922e-02	6.540750e-01	-3.035919e-02
9.996201241218245e-06	5.602371e-02	6.410515e-01	-1.193414e-03
1.009385749121824e-05	8.120562e-02	6.131594e-01	2.946911e-02
1.019151374121824e-05	1.053799e-01	5.747038e-01	6.002072e-02
1.028916999121824e-05	1.287513e-01	5.292549e-01	9.034643e-02
1.048448249121824e-05	1.736044e-01	4.283056e-01	1.498649e-01
1.067979499121824e-05	2.160270e-01	3.229070e-01	2.071292e-01
1.077745124121824e-05	2.361882e-01	2.697874e-01	2.346452e-01
1.087510749121824e-05	2.555394e-01	2.165775e-01	2.612781e-01
1.097276374121824e-05	2.739938e-01	1.633244e-01	2.869276e-01
1.116807624121824e-05	3.078707e-01	5.675896e-02	3.348943e-01
1.136338874121824e-05	3.371692e-01	-4.984719e-02	3.778238e-01
1.155870124121824e-05	3.613039e-01	-1.564801e-01	4.150706e-01
1.175401374121823e-05	3.797666e-01	-2.631349e-01	4.460743e-01
1.194932624121823e-05	3.921339e-01	-3.698083e-01	4.703687e-01
1.214463874121823e-05	3.980743e-01	-4.764971e-01	4.875882e-01
1.233995124121823e-05	3.973528e-01	-5.831981e-01	4.974740e-01
1.253526374121823e-05	3.898347e-01	-6.899078e-01	4.998773e-01
1.273057624121823e-05	3.754876e-01	-7.966222e-01	4.947619e-01
1.292588874121823e-05	3.543817e-01	-9.033373e-01	4.822050e-01
1.312120124121823e-05	3.266889e-01	-1.010049e+00	4.623952e-01
1.331651374121822e-05	2.926804e-01	-1.116751e+00	4.356305e-01
1.341416999121822e-05	2.734187e-01	-1.170095e+00	4.197620e-01
1.351182624121822e-05	2.527231e-01	-1.223431e+00	4.023135e-01
1.360948249121822e-05	2.306539e-01	-1.276750e+00	3.833509e-01
1.370713874121822e-05	2.072781e-01	-1.330034e+00	3.629454e-01
1.380479499121822e-05	1.826715e-01	-1.383229e+00	3.411739e-01
1.390245124121822e-05	1.569243e-01	-1.436194e+00	3.181183e-01
1.400010749121822e-05	1.301582e-01	-1.488547e+00	2.938653e-01
1.409776374121822e-05	1.025586e-01	-1.539339e+00	2.685063e-01
1.419541999121822e-05	7.441369e-02	-1.586594e+00	2.421367e-01
1.429307624121822e-05	4.612430e-02	-1.627047e+00	2.148558e-01
1.439073249121822e-05	1.814312e-02	-1.656614e+00	1.867662e-01
1.448838874121822e-05	-9.139908e-03	-1.671687e+00	1.579736e-01
1.458604499121822e-05	-3.550404e-02	-1.670550e+00	1.285865e-01
1.468113132139366e-05	-6.025262e-02	-1.654143e+00	9.950671e-02
1.477878757139366e-05	-8.485620e-02	-1.624017e+00	6.927239e-02
1.487644382139366e-05	-1.088560e-01	-1.584123e+00	3.877734e-02
1.497410007139366e-05	-1.324454e-01	-1.537876e+00	8.136343e-03
1.516941257139366e-05	-1.788275e-01	-1.436328e+00	-5.312208e-02
1.536472507139366e-05	-2.241439e-01	-1.330828e+00	-1.135815e-01
1.556003757139366e-05	-2.678407e-01	-1.224544e+00	-1.723325e-01
1.575535007139365e-05	-3.091710e-01	-1.118116e+00	-2.284915e-01
1.595066257139365e-05	-3.473774e-01	-1.011660e+00	-2.812138e-01
1.614597507139365e-05	-3.817413e-01	-9.051942e-01	-3.297064e-01
1.634128757139365e-05	-4.116006e-01	-7.987212e-01	-3.732398e-01
