time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	7.850922e-03
6.853920521328121e-08	8.612890e-05	7.847752e-03
1.370784104265624e-07	1.722578e-04	7.799357e-03
2.056176156398436e-07	2.583867e-04	7.705735e-03
2.741568208531248e-07	3.445156e-04	7.566888e-03
3.426960260664060e-07	4.306445e-04	7.382814e-03
4.112352312796872e-07	5.167734e-04	7.153514e-03
4.797744364929683e-07	6.029023e-04	6.878989e-03
7.973332291239809e-07	1.001958e-03	4.701902e-03
1.335096400529923e-06	1.677731e-03	-2.149759e-03
1.861818957560099e-06	2.339630e-03	-1.413040e-02
2.519832618272770e-06	3.166514e-03	-4.036267e-02
3.279818678159582e-06	4.121539e-03	-9.385259e-02
4.192203272601503e-06	5.268072e-03	-2.088371e-01
5.200623263103287e-06	6.535284e-03	-4.330947e-01
6.387306743326825e-06	8.026505e-03	-8.398513e-01
7.272225653870418e-06	9.138516e-03	-1.240833e+00
8.359148860860480e-06	1.050437e-02	-1.805459e+00
1.664774703334134e-05	2.091979e-02	-6.317527e+00
2.467344179162556e-05	3.100432e-02	-1.032001e+01
3.138906970405043e-05	3.944211e-02	-1.295987e+01
3.889502179371328e-05	4.887241e-02	-1.298654e+01
4.640097388337614e-05	5.830115e-02	-1.300648e+01
5.390692597303900e-05	6.772834e-02	-1.301968e+01
6.141287806270187e-05	7.715398e-02	-1.302615e+01
6.891883015236472e-05	8.657807e-02	-1.302588e+01
7.642478224202758e-05	9.600061e-02	-1.301888e+01
8.393073433169042e-05	1.054216e-01	-1.300514e+01
2.272392420049322e-04	2.845880e-01	-1.300516e+01
4.225517420049322e-04	5.247779e-01	-1.300519e+01
6.178642420049321e-04	7.570747e-01	-1.300523e+01
8.131767420049321e-04	9.779844e-01	-1.300526e+01
1.008489242004932e-03	1.184184e+00	-1.300528e+01
1.203801742004932e-03	1.372573e+00	-1.300531e+01
1.399114242004932e-03	1.540317e+00	-1.300533e+01
1.594426742004933e-03	1.684893e+00	-1.300535e+01
1.789739242004933e-03	1.804127e+00	-1.300537e+01
1.985051742004933e-03	1.896224e+00	-1.300538e+01
2.180364242004933e-03	1.959801e+00	-1.300539e+01
2.375676742004933e-03	1.993901e+00	-1.300539e+01
2.570989242004934e-03	1.998011e+00	-1.300539e+01
2.766301742004934e-03	1.972069e+00	-1.300539e+01
2.961614242004934e-03	1.916464e+00	-1.300538e+01
3.156926742004934e-03	1.832035e+00	-1.300537e+01
3.352239242004934e-03	1.720050e+00	-1.300536e+01
3.547551742004934e-03	1.582194e+00	-1.300534e+01
3.742864242004935e-03	1.420540e+00	-1.300532e+01
3.938176742004935e-03	1.237520e+00	-1.300529e+01
4.133489242004934e-03	1.035886e+00	-1.300526e+01
4.328801742004933e-03	8.186722e-01	-1.300524e+01
4.524114242004933e-03	5.891444e-01	-1.300520e+01
4.719426742004932e-03	3.507554e-01	-1.300517e+01
4.914739242004931e-03	1.070906e-01	-1.300514e+01
5.110051742004931e-03	-1.381849e-01	-1.300511e+01
5.305364242004930e-03	-3.813820e-01	-1.300507e+01
5.500676742004929e-03	-6.188427e-01	-1.300504e+01
5.695989242004929e-03	-8.469955e-01	-1.300500e+01
5.793645492004928e-03	-9.565021e-01	-1.300465e+01
5.891301742004928e-03	-1.062409e+00	-1.300095e+01
5.950744828115743e-03	-1.124941e+00	-1.299363e+01
5.965669341247938e-03	-1.140398e+00	-1.298620e+01
5.994427492315022e-03	-1.169898e+00	-1.295369e+01
5.995632957788817e-03	-1.171126e+00	-1.295623e+01
5.996838423262612e-03	-1.172354e+00	-1.295410e+01
5.998043888736407e-03	-1.173581e+00	-1.294732e+01
5.999249354210203e-03	-1.174807e+00	-1.293588e+01
6.000454819683997e-03	-1.176033e+00	-1.291979e+01
6.001660285157793e-03	-1.177258e+00	-1.289904e+01
6.002865750631588e-03	-1.178482e+00	-1.287363e+01
6.003849324569971e-03	-1.179480e+00	-1.280903e+01
6.004932373977326e-03	-1.180579e+00	-1.266101e+01
6.006069595470012e-03	-1.181733e+00	-1.238831e+01
6.006992122703602e-03	-1.182668e+00	-1.205537e+01
6.007876936750436e-03	-1.183564e+00	-1.164518e+01
6.008926513241391e-03	-1.184627e+00	-1.110100e+01
6.013455535167811e-03	-1.189208e+00	-8.643222e+00
6.017984557094231e-03	-1.193779e+00	-6.182174e+00
6.022513579020651e-03	-1.198340e+00	-3.717855e+00
6.027042600947071e-03	-1.202892e+00	-1.250264e+00
6.031571622873491e-03	-1.207434e+00	1.220599e+00
6.036100644799910e-03	-1.211966e+00	3.694733e+00
6.040629666726331e-03	-1.216489e+00	6.172139e+00
6.051380190319008e-03	-1.227184e+00	1.109845e+01
6.059107952228506e-03	-1.234838e+00	1.293959e+01
6.060351298408752e-03	-1.236066e+00	1.300566e+01
6.222240458224609e-03	-1.392227e+00	1.300548e+01
6.384129618040466e-03	-1.530952e+00	1.300534e+01
6.546018777856323e-03	-1.652242e+00	1.300525e+01
6.707907937672179e-03	-1.756096e+00	1.300519e+01
6.869797097488036e-03	-1.842515e+00	1.300518e+01
7.031686257303893e-03	-1.911498e+00	1.300521e+01
7.193575417119750e-03	-1.963046e+00	1.300528e+01
7.388887917119749e-03	-1.995128e+00	1.300528e+01
7.584200417119749e-03	-1.997202e+00	1.300528e+01
7.779512917119748e-03	-1.969236e+00	1.300528e+01
7.974825417119748e-03	-1.911651e+00	1.300528e+01
8.170137917119747e-03	-1.825312e+00	1.300528e+01
8.365450417119747e-03	-1.711520e+00	1.300528e+01
8.560762917119746e-03	-1.571984e+00	1.300528e+01
8.756075417119745e-03	-1.408805e+00	1.300528e+01
8.951387917119745e-03	-1.224436e+00	1.300528e+01
9.146700417119744e-03	-1.021650e+00	1.300528e+01
9.342012917119743e-03	-8.034971e-01	1.300528e+01
9.537325417119743e-03	-5.732593e-01	1.300528e+01
9.732637917119742e-03	-3.343991e-01	1.300528e+01
9.927950417119741e-03	-9.050925e-02	1.300528e+01
1.012326291711974e-02	1.547419e-01	1.300528e+01
1.031857541711974e-02	3.976657e-01	1.300528e+01
1.051388791711974e-02	6.346081e-01	1.300528e+01
1.070920041711974e-02	8.620055e-01	1.300527e+01
1.080685666711974e-02	9.710490e-01	1.300467e+01
1.090451291711974e-02	1.076438e+00	1.300255e+01
1.091541811944667e-02	1.087962e+00	1.300155e+01
1.093722852410054e-02	1.110857e+00	1.299537e+01
1.098273505936136e-02	1.157949e+00	1.297240e+01
1.098519070404450e-02	1.160464e+00	1.297447e+01
1.098764634872763e-02	1.162976e+00	1.297301e+01
1.099010199341076e-02	1.165485e+00	1.296803e+01
1.099255763809390e-02	1.167992e+00	1.295953e+01
1.099501328277703e-02	1.170495e+00	1.294750e+01
1.099746892746016e-02	1.172996e+00	1.293195e+01
1.099992457214330e-02	1.175494e+00	1.291288e+01
1.100121090061421e-02	1.176801e+00	1.288270e+01
1.100222848787768e-02	1.177835e+00	1.282429e+01
1.100339087121780e-02	1.179015e+00	1.268107e+01
1.100445046918272e-02	1.180090e+00	1.244023e+01
1.100551582470935e-02	1.181171e+00	1.206517e+01
1.100638679489490e-02	1.182054e+00	1.166424e+01
1.100746120973802e-02	1.183143e+00	1.110243e+01
1.101186424712252e-02	1.187599e+00	8.689487e+00
1.101626728450702e-02	1.192047e+00	6.275780e+00
1.102067032189151e-02	1.196485e+00	3.861312e+00
1.102507335927601e-02	1.200914e+00	1.446083e+00
1.102947639666051e-02	1.205334e+00	-9.699077e-01
1.103387943404501e-02	1.209745e+00	-3.386659e+00
1.103828247142950e-02	1.214146e+00	-5.804172e+00
1.104906724535336e-02	1.224888e+00	-1.084968e+01
1.105687921391695e-02	1.232633e+00	-1.291265e+01
1.105817067936783e-02	1.233911e+00	-1.300401e+01
1.122030844009692e-02	1.390497e+00	-1.300463e+01
1.138244620082600e-02	1.529603e+00	-1.300511e+01
1.154458396155509e-02	1.651229e+00	-1.300545e+01
1.170672172228417e-02	1.755376e+00	-1.300565e+01
1.186885948301326e-02	1.842044e+00	-1.300570e+01
1.203099724374235e-02	1.911231e+00	-1.300562e+01
1.219313500447143e-02	1.962940e+00	-1.300539e+01
1.238844750447143e-02	1.995089e+00	-1.300539e+01
1.258376000447143e-02	1.997231e+00	-1.300539e+01
1.277907250447143e-02	1.969332e+00	-1.300539e+01
1.297438500447143e-02	1.911813e+00	-1.300538e+01
1.316969750447143e-02	1.825539e+00	-1.300537e+01
1.336501000447143e-02	1.711806e+00	-1.300536e+01
1.356032250447143e-02	1.572326e+00	-1.300534e+01
1.375563500447143e-02	1.409198e+00	-1.300531e+01
1.395094750447143e-02	1.224873e+00	-1.300529e+01
1.414626000447143e-02	1.022125e+00	-1.300526e+01
1.434157250447143e-02	8.040039e-01	-1.300523e+01
1.453688500447142e-02	5.737895e-01	-1.300520e+01
1.473219750447142e-02	3.349448e-01	-1.300517e+01
1.492751000447142e-02	9.106212e-02	-1.300514e+01
1.512282250447142e-02	-1.541902e-01	-1.300510e+01
1.531813500447142e-02	-3.971233e-01	-1.300507e+01
1.551344750447142e-02	-6.340833e-01	-1.300504e+01
1.570876000447142e-02	-8.615061e-01	-1.300500e+01
1.580641625447142e-02	-9.705651e-01	-1.300443e+01
1.590407250447142e-02	-1.075971e+00	-1.300240e+01
1.591627953572142e-02	-1.088870e+00	-1.300128e+01
1.594069359822142e-02	-1.114475e+00	-1.299322e+01
1.599185685693788e-02	-1.167277e+00	-1.295987e+01
1.599336557892070e-02	-1.168815e+00	-1.296368e+01
1.599487430090352e-02	-1.170353e+00	-1.296280e+01
1.599638302288634e-02	-1.171890e+00	-1.295723e+01
1.599789174486916e-02	-1.173426e+00	-1.294698e+01
1.599940046685198e-02	-1.174961e+00	-1.293203e+01
1.600090918883480e-02	-1.176495e+00	-1.291239e+01
1.600241791081762e-02	-1.178027e+00	-1.288807e+01
1.600349043635912e-02	-1.179116e+00	-1.283372e+01
1.600462607579900e-02	-1.180269e+00	-1.270801e+01
1.600568727230170e-02	-1.181345e+00	-1.247937e+01
1.600699051390652e-02	-1.182666e+00	-1.203305e+01
1.600790279068566e-02	-1.183590e+00	-1.161853e+01
1.600902030307253e-02	-1.184722e+00	-1.103726e+01
1.601355986807899e-02	-1.189313e+00	-8.573154e+00
1.601809943308545e-02	-1.193895e+00	-6.105905e+00
1.602263899809191e-02	-1.198466e+00	-3.635519e+00
1.602717856309837e-02	-1.203028e+00	-1.161995e+00
1.603171812810483e-02	-1.207581e+00	1.314667e+00
1.603625769311129e-02	-1.212123e+00	3.794466e+00
1.604079725811774e-02	-1.216656e+00	6.277403e+00
1.605142160561293e-02	-1.227225e+00	1.113391e+01
1.605910401730340e-02	-1.234834e+00	1.294248e+01
1.606033496749582e-02	-1.236050e+00	1.300578e+01
1.622200099953086e-02	-1.392000e+00	1.300555e+01
1.638366703156589e-02	-1.530568e+00	1.300537e+01
1.654533306360093e-02	-1.651753e+00	1.300524e+01
1.670699909563597e-02	-1.755555e+00	1.300517e+01
1.686866512767100e-02	-1.841975e+00	1.300515e+01
1.703033115970604e-02	-1.911011e+00	1.300519e+01
1.719199719174107e-02	-1.962665e+00	1.300528e+01
1.738730969174108e-02	-1.994989e+00	1.300528e+01
1.758262219174108e-02	-1.997306e+00	1.300528e+01
1.777793469174108e-02	-1.969581e+00	1.300528e+01
1.797324719174109e-02	-1.912233e+00	1.300528e+01
1.816855969174109e-02	-1.826122e+00	1.300528e+01
1.836387219174109e-02	-1.712545e+00	1.300528e+01
1.855918469174109e-02	-1.573210e+00	1.300528e+01
1.875449719174110e-02	-1.410212e+00	1.300528e+01
1.894980969174110e-02	-1.226003e+00	1.300528e+01
1.914512219174110e-02	-1.023354e+00	1.300528e+01
1.934043469174111e-02	-8.053129e-01	1.300528e+01
1.953574719174111e-02	-5.751591e-01	1.300528e+01
1.973105969174111e-02	-3.363543e-01	1.300528e+01
1.992637219174111e-02	-9.249043e-02	1.300528e+01
2.012168469174112e-02	1.527646e-01	1.300528e+01
2.031699719174112e-02	3.957218e-01	1.300528e+01
2.051230969174112e-02	6.327271e-01	1.300528e+01
2.070762219174112e-02	8.602155e-01	1.300527e+01
2.080527844174113e-02	9.693146e-01	1.300470e+01
2.090293469174113e-02	1.074766e+00	1.300265e+01
2.091514172299113e-02	1.087670e+00	1.300151e+01
2.093955578549113e-02	1.113288e+00	1.299335e+01
2.099067843539487e-02	1.166074e+00	1.295964e+01
2.099215763370119e-02	1.167583e+00	1.296334e+01
2.099363683200751e-02	1.169092e+00	1.296239e+01
2.099511603031383e-02	1.170600e+00	1.295681e+01
2.099659522862014e-02	1.172106e+00	1.294659e+01
2.099807442692646e-02	1.173612e+00	1.293174e+01
2.099955362523278e-02	1.175117e+00	1.291225e+01
2.100103282353910e-02	1.176620e+00	1.288812e+01
2.100209492430524e-02	1.177699e+00	1.283385e+01
2.100322392410200e-02	1.178846e+00	1.270794e+01
2.100427619521697e-02	1.179914e+00	1.247902e+01
2.100558200491367e-02	1.181238e+00	1.202693e+01
2.100648808885525e-02	1.182157e+00	1.161054e+01
2.100759887791531e-02	1.183282e+00	1.102608e+01
2.103920522819745e-02	1.215068e+00	-6.312370e+00
2.104980102346957e-02	1.225617e+00	-1.116013e+01
2.105747002281876e-02	1.233218e+00	-1.294549e+01
2.105869328675246e-02	1.234428e+00	-1.300598e+01
2.122022096613047e-02	1.390388e+00	-1.300568e+01
2.138174864550848e-02	1.529010e+00	-1.300545e+01
2.154327632488649e-02	1.650292e+00	-1.300529e+01
2.170480400426450e-02	1.754236e+00	-1.300521e+01
2.186633168364251e-02	1.840840e+00	-1.300520e+01
2.202785936302052e-02	1.910106e+00	-1.300526e+01
2.218938704239853e-02	1.962032e+00	-1.300539e+01
2.238469954239854e-02	1.994754e+00	-1.300539e+01
2.258001204239854e-02	1.997473e+00	-1.300539e+01
2.277532454239854e-02	1.970148e+00	-1.300539e+01
2.297063704239855e-02	1.913191e+00	-1.300538e+01
2.316594954239855e-02	1.827457e+00	-1.300537e+01
2.336126204239855e-02	1.714237e+00	-1.300536e+01
2.355657454239855e-02	1.575233e+00	-1.300534e+01
2.375188704239856e-02	1.412536e+00	-1.300532e+01
2.394719954239856e-02	1.228593e+00	-1.300529e+01
2.414251204239856e-02	1.026171e+00	-1.300526e+01
2.433782454239856e-02	8.083141e-01	-1.300523e+01
2.453313704239857e-02	5.782997e-01	-1.300520e+01
2.472844954239857e-02	3.395871e-01	-1.300517e+01
2.492376204239857e-02	9.576681e-02	-1.300514e+01
2.511907454239858e-02	-1.494939e-01	-1.300510e+01
2.531438704239858e-02	-3.925061e-01	-1.300507e+01
2.550969954239858e-02	-6.296147e-01	-1.300504e+01
2.570501204239858e-02	-8.572533e-01	-1.300500e+01
2.580266829239859e-02	-9.664443e-01	-1.300450e+01
2.590032454239859e-02	-1.071998e+00	-1.299951e+01
2.595984881238317e-02	-1.134381e+00	-1.298979e+01
2.597384407887134e-02	-1.148822e+00	-1.298022e+01
2.597773652538799e-02	-1.152822e+00	-1.298659e+01
2.598162897190463e-02	-1.156816e+00	-1.298775e+01
2.598552141842127e-02	-1.160803e+00	-1.298369e+01
2.598941386493792e-02	-1.164782e+00	-1.297441e+01
2.599330631145456e-02	-1.168755e+00	-1.295992e+01
2.599719875797121e-02	-1.172721e+00	-1.294021e+01
2.600109120448785e-02	-1.176680e+00	-1.291529e+01
2.600248686423289e-02	-1.178097e+00	-1.288590e+01
2.600353694096080e-02	-1.179163e+00	-1.283284e+01
2.600458212186538e-02	-1.180224e+00	-1.271762e+01
2.600567585366880e-02	-1.181333e+00	-1.248219e+01
2.600705078321080e-02	-1.182727e+00	-1.201049e+01
2.600798765963028e-02	-1.183676e+00	-1.158282e+01
2.600911140483007e-02	-1.184814e+00	-1.099621e+01
2.601346873205800e-02	-1.189221e+00	-8.630818e+00
2.601782605928593e-02	-1.193619e+00	-6.262554e+00
2.602218338651386e-02	-1.198008e+00	-3.891419e+00
2.602654071374178e-02	-1.202388e+00	-1.517412e+00
2.603089804096971e-02	-1.206759e+00	8.594648e-01
2.603525536819764e-02	-1.211121e+00	3.239213e+00
2.603961269542557e-02	-1.215474e+00	5.621832e+00
2.605026369597437e-02	-1.226076e+00	1.065919e+01
2.605809178608313e-02	-1.233833e+00	1.288880e+01
2.605942092377716e-02	-1.235147e+00	1.300248e+01
2.622950884761965e-02	-1.399167e+00	1.300379e+01
2.639959677146214e-02	-1.543763e+00	1.300481e+01
2.656968469530463e-02	-1.668935e+00	1.300551e+01
2.673977261914712e-02	-1.774683e+00	1.300591e+01
2.690986054298962e-02	-1.861007e+00	1.300601e+01
2.707994846683211e-02	-1.927908e+00	1.300580e+01
2.725003639067460e-02	-1.975384e+00	1.300528e+01
2.744534889067460e-02	-1.998821e+00	1.300528e+01
2.764066139067460e-02	-1.992194e+00	1.300528e+01
2.783597389067461e-02	-1.955603e+00	1.300528e+01
2.803128639067461e-02	-1.889597e+00	1.300528e+01
2.822659889067461e-02	-1.795170e+00	1.300528e+01
2.842191139067462e-02	-1.673743e+00	1.300528e+01
2.861722389067462e-02	-1.527140e+00	1.300528e+01
2.881253639067462e-02	-1.357568e+00	1.300528e+01
2.900784889067462e-02	-1.167577e+00	1.300528e+01
2.920316139067463e-02	-9.600241e-01	1.300528e+01
2.939847389067463e-02	-7.380319e-01	1.300528e+01
2.959378639067463e-02	-5.049389e-01	1.300528e+01
2.978909889067463e-02	-2.642512e-01	1.300528e+01
2.998441139067464e-02	-1.958891e-02	1.300528e+01
3.017972389067464e-02	2.253680e-01	1.300528e+01
3.037503639067464e-02	4.669352e-01	1.300528e+01
3.057034889067465e-02	7.014793e-01	1.300528e+01
3.076566139067465e-02	9.254724e-01	1.300516e+01
3.086331764067465e-02	1.032452e+00	1.300356e+01
3.092476447888226e-02	1.097798e+00	1.300015e+01
3.094266991820898e-02	1.116536e+00	1.299576e+01
3.097129121899959e-02	1.146194e+00	1.298283e+01
3.098790705490876e-02	1.163242e+00	1.296275e+01
3.098985010030816e-02	1.165228e+00	1.297508e+01
3.099179314570756e-02	1.167211e+00	1.297886e+01
3.099373619110696e-02	1.169193e+00	1.297408e+01
3.099567923650637e-02	1.171174e+00	1.296076e+01
3.099762228190577e-02	1.173152e+00	1.293888e+01
3.099956532730517e-02	1.175129e+00	1.290846e+01
3.100150837270458e-02	1.177103e+00	1.286948e+01
3.100248086269764e-02	1.178091e+00	1.280068e+01
3.100355773704312e-02	1.179185e+00	1.264349e+01
3.100471777869078e-02	1.180362e+00	1.235142e+01
3.100557045268750e-02	1.181226e+00	1.203249e+01
3.100645740818746e-02	1.182126e+00	1.161122e+01
3.100748661782319e-02	1.183169e+00	1.106982e+01
3.101207350671094e-02	1.187811e+00	8.555459e+00
3.101666039559869e-02	1.192444e+00	6.040486e+00
3.102124728448644e-02	1.197066e+00	3.524904e+00
