time	V(n001)	V(n002)	V(n003)
0.000000000000000e+00	1.114760e-05	8.098422e-03	0.000000e+00
1.428571424964633e-07	5.005762e-05	8.081538e-03	4.487990e-05
2.857142849929266e-07	8.588081e-05	8.030389e-03	8.975979e-05
4.285714274893899e-07	1.186172e-04	7.944976e-03	1.346397e-04
5.714285699858532e-07	1.482667e-04	7.825298e-03	1.795196e-04
7.142857124823165e-07	1.748295e-04	7.671355e-03	2.243995e-04
8.571428549787799e-07	1.983054e-04	7.483147e-03	2.692793e-04
9.999999974752427e-07	2.186944e-04	7.260675e-03	3.141592e-04
1.999999994950485e-06	3.309321e-04	5.364964e-03	6.283183e-04
3.186103540920572e-06	4.053142e-04	2.464384e-03	1.000943e-03
4.415204883699577e-06	4.413753e-04	-9.966485e-04	1.387076e-03
5.669003211403024e-06	4.566417e-04	-4.766087e-03	1.780966e-03
7.672467933617363e-06	4.648983e-04	-1.096844e-02	2.410368e-03
5.039049817929367e-05	4.676633e-04	-1.452232e-01	1.584721e-02
9.310852842496999e-05	4.694980e-04	-2.791343e-01	2.925019e-02
1.358265586706463e-04	4.704024e-04	-4.127018e-01	4.261929e-02
1.785445889163226e-04	4.703765e-04	-5.459257e-01	5.595452e-02
2.212626191619989e-04	4.694204e-04	-6.788060e-01	6.925589e-02
2.639806494076752e-04	4.675339e-04	-8.113427e-01	8.252338e-02
3.066986796533514e-04	4.647172e-04	-9.435357e-01	9.575700e-02
5.020111796533515e-04	4.533929e-04	-1.536626e+00	1.551093e-01
6.973236796533514e-04	4.354168e-04	-2.106482e+00	2.121286e-01
8.926361796533514e-04	4.110593e-04	-2.644532e+00	2.659573e-01
1.087948679653351e-03	3.806867e-04	-3.142685e+00	3.157857e-01
1.283261179653352e-03	3.447560e-04	-3.593447e+00	3.608644e-01
1.478573679653352e-03	3.038075e-04	-3.990038e+00	4.005154e-01
1.673886179653352e-03	2.584573e-04	-4.326494e+00	4.341423e-01
1.869198679653352e-03	2.093873e-04	-4.597754e+00	4.612392e-01
2.064511179653352e-03	1.573358e-04	-4.799737e+00	4.813987e-01
2.259823679653352e-03	1.030855e-04	-4.929405e+00	4.943176e-01
2.455136179653353e-03	4.745245e-05	-4.984809e+00	4.998014e-01
2.650448679653353e-03	-8.726649e-06	-4.965116e+00	4.977677e-01
2.845761179653353e-03	-6.460684e-05	-4.870620e+00	4.882472e-01
3.041073679653353e-03	-1.193476e-04	-4.702744e+00	4.713829e-01
3.236386179653353e-03	-1.721258e-04	-4.464012e+00	4.474286e-01
3.431698679653354e-03	-2.221474e-04	-4.158016e+00	4.167446e-01
3.627011179653354e-03	-2.686601e-04	-3.789357e+00	3.797923e-01
3.822323679653354e-03	-3.109644e-04	-3.363582e+00	3.371277e-01
4.017636179653354e-03	-3.484238e-04	-2.887093e+00	2.893923e-01
4.212948679653353e-03	-3.804751e-04	-2.367057e+00	2.373041e-01
4.408261179653352e-03	-4.066359e-04	-1.811297e+00	1.816467e-01
4.603573679653352e-03	-4.265129e-04	-1.228172e+00	1.232572e-01
4.798886179653351e-03	-4.398070e-04	-6.264520e-01	6.301376e-02
4.994198679653350e-03	-4.463182e-04	-1.518782e-02	1.822534e-03
5.189511179653349e-03	-4.459487e-04	5.964266e-01	-5.939610e-02
5.384823679653349e-03	-4.387038e-04	1.199192e+00	-1.197214e-01
5.580136179653348e-03	-4.246927e-04	1.784042e+00	-1.782459e-01
5.775448679653347e-03	-4.041261e-04	2.342181e+00	-2.340895e-01
5.970761179653347e-03	-3.773134e-04	2.865212e+00	-2.864121e-01
6.166073679653346e-03	-3.446579e-04	3.345270e+00	-3.344269e-01
6.361386179653345e-03	-3.066507e-04	3.775134e+00	-3.774115e-01
6.556698679653345e-03	-2.638637e-04	4.148338e+00	-4.147195e-01
6.752011179653344e-03	-2.169403e-04	4.459270e+00	-4.457898e-01
6.947323679653343e-03	-1.665864e-04	4.703251e+00	-4.701549e-01
7.142636179653342e-03	-1.135592e-04	4.876613e+00	-4.874485e-01
7.337948679653342e-03	-5.865647e-05	4.976748e+00	-4.974104e-01
7.533261179653341e-03	-2.703846e-06	5.002149e+00	-4.998908e-01
7.728573679653340e-03	5.345711e-05	4.952435e+00	-4.948524e-01
7.923886179653341e-03	1.089817e-04	4.828355e+00	-4.823709e-01
8.119198679653340e-03	1.630349e-04	4.631773e+00	-4.626341e-01
8.314511179653339e-03	2.148036e-04	4.365646e+00	-4.359389e-01
8.509823679653339e-03	2.635092e-04	4.033978e+00	-4.026868e-01
8.705136179653338e-03	3.084191e-04	3.641757e+00	-3.633778e-01
8.900448679653337e-03	3.488579e-04	3.194883e+00	-3.186034e-01
9.095761179653336e-03	3.842173e-04	2.700076e+00	-2.690368e-01
9.291073679653336e-03	4.139654e-04	2.164780e+00	-2.154237e-01
9.486386179653335e-03	4.376547e-04	1.597044e+00	-1.585704e-01
9.681698679653334e-03	4.549290e-04	1.005410e+00	-9.933203e-02
9.877011179653334e-03	4.655282e-04	3.987753e-01	-3.859963e-02
1.016997992965333e-02	4.685909e-04	-5.193154e-01	5.329931e-02
1.036529242965333e-02	4.620304e-04	-1.123377e+00	1.137551e-01
1.056060492965333e-02	4.486881e-04	-1.710420e+00	1.724999e-01
1.075591742965333e-02	4.287648e-04	-2.271615e+00	2.286501e-01
1.095122992965333e-02	4.025600e-04	-2.798521e+00	2.813612e-01
1.114654242965333e-02	3.704681e-04	-3.283213e+00	3.298404e-01
1.134185492965333e-02	3.329717e-04	-3.718400e+00	3.733584e-01
1.153716742965333e-02	2.906348e-04	-4.097538e+00	4.112608e-01
1.173247992965333e-02	2.440942e-04	-4.414923e+00	4.429775e-01
1.192779242965333e-02	1.940501e-04	-4.665781e+00	4.680314e-01
1.212310492965333e-02	1.412550e-04	-4.846340e+00	4.860456e-01
1.231841742965332e-02	8.650299e-05	-4.953884e+00	4.967493e-01
1.251372992965332e-02	3.061764e-05	-4.986795e+00	4.999814e-01
1.270904242965332e-02	-2.556054e-05	-4.944578e+00	4.956933e-01
1.290435492965332e-02	-8.118662e-05	-4.827868e+00	4.839495e-01
1.309966742965332e-02	-1.354240e-04	-4.638421e+00	4.649267e-01
1.329497992965332e-02	-1.874568e-04	-4.379086e+00	4.389109e-01
1.349029242965332e-02	-2.365026e-04	-4.053763e+00	4.062935e-01
1.368560492965332e-02	-2.818236e-04	-3.667346e+00	3.675651e-01
1.388091742965332e-02	-3.227381e-04	-3.225647e+00	3.233082e-01
1.407622992965332e-02	-3.586307e-04	-2.735310e+00	2.741884e-01
1.427154242965332e-02	-3.889615e-04	-2.203709e+00	2.209445e-01
1.446685492965332e-02	-4.132743e-04	-1.638841e+00	1.643775e-01
1.466216742965332e-02	-4.312034e-04	-1.049201e+00	1.053380e-01
1.485747992965332e-02	-4.424790e-04	-4.436581e-01	4.471419e-02
1.515044867965331e-02	-4.465743e-04	4.745183e-01	-4.719448e-02
1.534576117965331e-02	-4.406990e-04	1.079785e+00	-1.077716e-01
1.554107367965331e-02	-4.280276e-04	1.668933e+00	-1.667278e-01
1.573638617965331e-02	-4.087504e-04	2.233100e+00	-2.231762e-01
1.593169867965332e-02	-3.831576e-04	2.763801e+00	-2.762679e-01
1.612701117965332e-02	-3.516340e-04	3.253054e+00	-3.252042e-01
1.632232367965332e-02	-3.146539e-04	3.693499e+00	-3.692492e-01
1.651763617965333e-02	-2.727736e-04	4.078513e+00	-4.077403e-01
1.671294867965333e-02	-2.266228e-04	4.402304e+00	-4.400986e-01
1.690826117965333e-02	-1.768959e-04	4.660002e+00	-4.658374e-01
1.710357367965333e-02	-1.243407e-04	4.847731e+00	-4.845696e-01
1.729888617965334e-02	-6.974774e-05	4.962667e+00	-4.960134e-01
1.749419867965334e-02	-1.393809e-05	5.003082e+00	-4.999967e-01
1.768951117965334e-02	4.224886e-05	4.968368e+00	-4.964596e-01
1.788482367965335e-02	9.796803e-05	4.859047e+00	-4.854552e-01
1.808013617965335e-02	1.523814e-04	4.676763e+00	-4.671492e-01
1.827544867965335e-02	2.046705e-04	4.424258e+00	-4.418168e-01
1.847076117965335e-02	2.540490e-04	4.105330e+00	-4.098391e-01
1.866607367965336e-02	2.997741e-04	3.724775e+00	-3.716970e-01
1.886138617965336e-02	3.411581e-04	3.288319e+00	-3.279643e-01
1.905669867965336e-02	3.775785e-04	2.802524e+00	-2.792987e-01
1.925201117965336e-02	4.084875e-04	2.274699e+00	-2.264321e-01
1.944732367965337e-02	4.334200e-04	1.712783e+00	-1.701598e-01
1.964263617965337e-02	4.520012e-04	1.125226e+00	-1.113281e-01
1.983794867965337e-02	4.639515e-04	5.208665e-01	-5.082200e-02
2.013091742965338e-02	4.690787e-04	-3.972574e-01	4.108256e-02
2.032622992965338e-02	4.638897e-04	-1.003638e+00	1.017720e-01
2.052154242965338e-02	4.518909e-04	-1.594802e+00	1.609307e-01
2.071685492965339e-02	4.332629e-04	-2.161856e+00	2.176688e-01
2.091216742965339e-02	4.082859e-04	-2.696272e+00	2.711330e-01
2.110747992965339e-02	3.773355e-04	-3.190012e+00	3.205191e-01
