time	V(b)	V(vi)	V(vo)
0.000000000000000e+00	4.121588e-01	0.000000e+00	8.161465e-04
2.857142849929266e-07	4.120737e-01	8.975979e-05	8.934798e-04
5.714285699858532e-07	4.118181e-01	1.795196e-04	9.631081e-04
8.571428549787799e-07	4.113919e-01	2.692793e-04	1.025031e-03
1.142857139971706e-06	4.107952e-01	3.590391e-04	1.079250e-03
1.428571424964633e-06	4.100280e-01	4.487989e-04	1.125763e-03
1.714285709957560e-06	4.090902e-01	5.385586e-04	1.164571e-03
1.999999994950485e-06	4.079819e-01	6.283183e-04	1.195674e-03
3.999999989900971e-06	3.970295e-01	1.256636e-03	1.413685e-03
6.918192124632405e-06	3.714276e-01	2.173407e-03	1.802410e-03
9.814553808333886e-06	3.306728e-01	3.083314e-03	2.417046e-03
1.435883432386790e-05	2.256975e-01	4.510900e-03	3.704141e-03
2.232064563212394e-05	-5.095979e-02	7.012008e-03	6.008081e-03
3.004188470996960e-05	-3.688425e-01	9.437376e-03	4.613108e-03
3.330448457415937e-05	-4.643985e-01	1.046215e-02	9.471658e-04
3.479673461639016e-05	-4.767602e-01	1.093085e-02	5.571674e-06
3.610445225335949e-05	-4.772427e-01	1.134158e-02	1.615725e-04
3.699874729661744e-05	-4.781162e-01	1.162245e-02	1.116435e-04
3.783792227267308e-05	-4.787248e-01	1.188601e-02	1.177626e-04
3.867709724872873e-05	-4.793242e-01	1.214957e-02	1.217351e-04
3.951627222478437e-05	-4.799147e-01	1.241313e-02	1.235611e-04
4.035544720084002e-05	-4.804960e-01	1.267668e-02	1.232404e-04
4.119462217689566e-05	-4.810683e-01	1.294023e-02	1.207732e-04
4.203379715295131e-05	-4.816315e-01	1.320377e-02	1.161594e-04
4.287297212900695e-05	-4.821857e-01	1.346731e-02	1.093990e-04
5.786458417497556e-05	-4.901446e-01	1.817469e-02	8.435688e-05
7.785340023626705e-05	-4.977490e-01	2.444861e-02	6.649079e-05
1.178310323588500e-04	-5.082277e-01	3.698390e-02	4.928254e-05
1.977862966040160e-04	-5.218711e-01	6.197659e-02	3.488052e-05
2.954425466040160e-04	-5.329544e-01	9.228387e-02	2.764237e-05
4.907550466040159e-04	-5.464470e-01	1.517437e-01	2.181731e-05
6.860675466040159e-04	-5.548126e-01	2.089211e-01	1.956435e-05
8.813800466040159e-04	-5.608294e-01	2.629562e-01	1.822235e-05
1.076692546604016e-03	-5.653765e-01	3.130361e-01	1.731166e-05
1.272005046604016e-03	-5.689008e-01	3.584077e-01	1.662655e-05
1.467317546604016e-03	-5.716514e-01	3.983886e-01	1.607052e-05
1.662630046604016e-03	-5.737793e-01	4.323772e-01	1.559254e-05
1.857942546604017e-03	-5.753804e-01	4.598626e-01	1.516293e-05
2.053255046604017e-03	-5.765170e-01	4.804311e-01	1.476299e-05
2.248567546604017e-03	-5.772284e-01	4.937736e-01	1.437997e-05
2.443880046604017e-03	-5.775380e-01	4.996892e-01	1.400433e-05
2.639192546604017e-03	-5.774551e-01	4.980890e-01	1.362807e-05
2.834505046604017e-03	-5.769773e-01	4.889971e-01	1.324344e-05
3.029817546604017e-03	-5.760896e-01	4.725503e-01	1.284187e-05
3.225130046604018e-03	-5.747622e-01	4.489958e-01	1.241248e-05
3.420442546604018e-03	-5.729473e-01	4.186880e-01	1.194008e-05
3.615755046604018e-03	-5.705698e-01	3.820828e-01	1.140157e-05
3.811067546604018e-03	-5.675139e-01	3.397307e-01	1.075898e-05
4.006380046604018e-03	-5.635943e-01	2.922687e-01	9.944515e-06
4.201692546604017e-03	-5.584945e-01	2.404107e-01	8.823118e-06
4.397005046604016e-03	-5.516140e-01	1.849368e-01	7.080635e-06
4.592317546604016e-03	-5.415856e-01	1.266812e-01	3.774590e-06
4.689973796604015e-03	-5.343181e-01	9.678281e-02	5.479484e-07
4.787630046604015e-03	-5.236654e-01	6.652018e-02	-6.427404e-06
4.885286296604015e-03	-5.000752e-01	3.600718e-02	-3.822488e-05
4.982942546604014e-03	-4.533886e-01	5.358655e-03	-1.816443e-04
4.988387050805991e-03	-4.419105e-01	3.648283e-03	-3.397758e-04
4.999276059209943e-03	-3.792168e-01	2.274327e-04	-1.409473e-03
5.006453630377394e-03	-2.805379e-01	-2.027462e-03	-2.913596e-03
5.013251906170759e-03	-9.702267e-02	-4.163161e-03	-4.914223e-03
5.020750229638851e-03	2.013908e-01	-6.518692e-03	-6.833540e-03
5.024800736641484e-03	3.861578e-01	-7.791066e-03	-3.153185e-03
5.026951948463186e-03	4.632843e-01	-8.466800e-03	4.267603e-03
5.028150880342739e-03	4.824988e-01	-8.843399e-03	8.580939e-03
5.028729484200918e-03	4.848046e-01	-9.025143e-03	9.393721e-03
5.029508377953907e-03	4.858955e-01	-9.269799e-03	9.722364e-03
5.034446835010228e-03	4.911276e-01	-1.082097e-02	1.132019e-02
5.039385292066549e-03	4.960205e-01	-1.237201e-02	1.290943e-02
5.044323749122870e-03	5.005739e-01	-1.392290e-02	1.449007e-02
5.049262206179192e-03	5.047880e-01	-1.547366e-02	1.606211e-02
5.054200663235513e-03	5.086628e-01	-1.702429e-02	1.762557e-02
5.059139120291834e-03	5.121982e-01	-1.857478e-02	1.918042e-02
5.064077577348156e-03	5.153943e-01	-2.012513e-02	2.072668e-02
5.097769779465273e-03	5.360667e-01	-3.069597e-02	3.132919e-02
5.165154183699509e-03	5.702785e-01	-5.179165e-02	5.242920e-02
5.262810433699508e-03	6.130360e-01	-8.218963e-02	8.280493e-02
5.458122933699508e-03	6.874610e-01	-1.419443e-01	1.425186e-01
5.653435433699507e-03	7.539326e-01	-1.995640e-01	2.000927e-01
5.848747933699506e-03	8.147897e-01	-2.541821e-01	2.546669e-01
6.044060433699506e-03	8.702706e-01	-3.049770e-01	3.054218e-01
6.239372933699505e-03	9.200991e-01	-3.511848e-01	3.515945e-01
6.434685433699504e-03	9.638503e-01	-3.921104e-01	3.924908e-01
6.629997933699503e-03	1.001070e+00	-4.271384e-01	4.274957e-01
6.825310433699503e-03	1.031335e+00	-4.557418e-01	4.560827e-01
7.020622933699502e-03	1.054281e+00	-4.774904e-01	4.778220e-01
7.215935433699501e-03	1.069624e+00	-4.920571e-01	4.923866e-01
7.411247933699501e-03	1.077169e+00	-4.992228e-01	4.995574e-01
7.606560433699500e-03	1.076821e+00	-4.988797e-01	4.992267e-01
7.801872933699499e-03	1.068583e+00	-4.910330e-01	4.913994e-01
7.997185433699499e-03	1.052562e+00	-4.758008e-01	4.761933e-01
8.192497933699498e-03	1.028959e+00	-4.534120e-01	4.538372e-01
8.387810433699497e-03	9.980666e-01	-4.242035e-01	4.246673e-01
8.583122933699497e-03	9.602540e-01	-3.886146e-01	3.891224e-01
8.778435433699496e-03	9.159498e-01	-3.471805e-01	3.477373e-01
8.973747933699495e-03	8.656079e-01	-3.005246e-01	3.011345e-01
9.169060433699494e-03	8.096461e-01	-2.493484e-01	2.500153e-01
9.364372933699494e-03	7.483090e-01	-1.944219e-01	1.951491e-01
9.559685433699493e-03	6.812809e-01	-1.365710e-01	1.373627e-01
9.754997933699492e-03	6.059145e-01	-7.666603e-02	7.753240e-02
9.852654183699492e-03	5.602013e-01	-4.622396e-02	4.714771e-02
9.950310433699492e-03	5.046679e-01	-1.560790e-02	1.664591e-02
9.962517464949491e-03	4.939616e-01	-1.177440e-02	1.286773e-02
9.986931527449491e-03	4.628913e-01	-4.105536e-03	5.439531e-03
9.992279257478269e-03	4.501255e-01	-2.425533e-03	4.000454e-03
1.000297471753583e-02	3.944299e-01	9.345345e-04	2.345732e-03
1.001049720079593e-02	3.018683e-01	3.297769e-03	2.855195e-03
1.001741103680942e-02	1.292771e-01	5.469730e-03	4.639471e-03
1.002507888329308e-02	-1.632840e-01	7.878438e-03	6.955606e-03
1.002925865420425e-02	-3.564713e-01	9.191359e-03	6.570988e-03
1.003142855012982e-02	-4.388608e-01	9.872928e-03	3.726894e-03
1.003347341910546e-02	-4.755647e-01	1.051521e-02	-9.871193e-05
1.003399984905932e-02	-4.771244e-01	1.068056e-02	-2.730394e-04
1.003449181224067e-02	-4.764299e-01	1.083507e-02	3.280625e-05
1.003483284491638e-02	-4.764770e-01	1.094219e-02	9.630865e-05
1.003586790104200e-02	-4.771934e-01	1.126728e-02	1.260741e-04
1.004647378806448e-02	-4.837280e-01	1.459833e-02	1.049375e-04
1.005707967508696e-02	-4.894765e-01	1.792841e-02	8.731074e-05
1.006768556210944e-02	-4.944389e-01	2.125751e-02	7.319371e-05
1.007829144913192e-02	-4.986152e-01	2.458564e-02	6.258643e-05
1.008889733615439e-02	-5.020053e-01	2.791280e-02	5.548891e-05
1.009950322317687e-02	-5.046093e-01	3.123899e-02	5.190114e-05
1.011010911019935e-02	-5.064271e-01	3.456421e-02	5.182313e-05
1.018478859101030e-02	-5.200210e-01	5.792270e-02	3.644340e-05
1.028244484101030e-02	-5.317258e-01	8.826764e-02	2.834789e-05
1.047775734101030e-02	-5.457729e-01	1.478479e-01	2.201589e-05
1.067306984101029e-02	-5.543420e-01	2.052044e-01	1.967844e-05
1.086838234101029e-02	-5.604813e-01	2.594744e-01	1.829496e-05
1.106369484101029e-02	-5.651092e-01	3.098417e-01	1.736379e-05
1.125900734101029e-02	-5.686923e-01	3.555487e-01	1.666739e-05
1.145431984101029e-02	-5.714890e-01	3.959078e-01	1.610468e-05
1.164963234101029e-02	-5.736549e-01	4.303122e-01	1.562259e-05
1.184494484101029e-02	-5.752889e-01	4.582443e-01	1.519043e-05
1.204025734101029e-02	-5.764549e-01	4.792839e-01	1.478896e-05
1.223556984101029e-02	-5.771937e-01	4.931147e-01	1.440513e-05
1.243088234101029e-02	-5.775295e-01	4.995286e-01	1.402927e-05
1.262619484101029e-02	-5.774728e-01	4.984291e-01	1.365328e-05
1.282150734101029e-02	-5.770216e-01	4.898327e-01	1.326946e-05
1.301681984101029e-02	-5.761619e-01	4.738688e-01	1.286932e-05
1.321213234101029e-02	-5.748651e-01	4.507775e-01	1.244219e-05
1.340744484101028e-02	-5.730845e-01	4.209061e-01	1.197326e-05
1.360275734101028e-02	-5.707474e-01	3.847039e-01	1.144010e-05
1.379806984101028e-02	-5.677416e-01	3.427153e-01	1.080610e-05
1.399338234101028e-02	-5.638874e-01	2.955720e-01	1.000619e-05
1.418869484101028e-02	-5.588802e-01	2.439830e-01	8.911918e-06
1.438400734101028e-02	-5.521474e-01	1.887243e-01	7.228172e-06
1.457931984101028e-02	-5.424052e-01	1.306270e-01	4.088921e-06
1.467697609101028e-02	-5.354221e-01	1.007857e-01	1.093904e-06
1.477463234101028e-02	-5.253925e-01	7.056496e-02	-5.099217e-06
1.487228859101028e-02	-5.058941e-01	4.007868e-02	-2.730617e-05
1.496994484101028e-02	-4.687536e-01	9.441545e-03	-1.093786e-04
1.498215187226028e-02	-4.507900e-01	5.607037e-03	-2.775561e-04
1.499825998798936e-02	-3.734819e-01	5.466408e-04	-1.435259e-03
1.500756261589412e-02	-2.426944e-01	-2.375857e-03	-3.273524e-03
1.501534965952327e-02	-1.420916e-02	-4.822163e-03	-5.558193e-03
1.502278064495774e-02	2.972960e-01	-7.156506e-03	-5.557248e-03
1.502598212034659e-02	4.272397e-01	-8.162161e-03	3.962857e-04
1.502823271834651e-02	4.822918e-01	-8.869105e-03	8.949334e-03
