time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	2.439151e+00
2.763292143750681e-06	3.472513e-03	2.398063e+00
5.526584287501361e-06	6.944892e-03	2.278337e+00
8.289876431252042e-06	1.041714e-02	2.079973e+00
1.105316857500272e-05	1.388925e-02	1.802971e+00
1.381646071875340e-05	1.736123e-02	1.447330e+00
1.657975286250408e-05	2.083308e-02	1.013051e+00
1.934304500625476e-05	2.430479e-02	5.001346e-01
3.851445460560777e-05	4.837980e-02	-4.287706e+00
5.957911407281758e-05	7.479940e-02	-1.066298e+01
6.939000355459298e-05	8.708759e-02	-1.287741e+01
7.100391587121205e-05	8.910780e-02	-1.299794e+01
9.359868830387915e-05	1.173486e-01	-1.300330e+01
1.447082488766388e-04	1.808452e-01	-1.300488e+01
2.345848405706513e-04	2.905370e-01	-1.300516e+01
3.322410905706512e-04	4.054824e-01	-1.300518e+01
4.298973405706512e-04	5.143289e-01	-1.300519e+01
5.275535905706512e-04	6.154395e-01	-1.300521e+01
6.252098405706513e-04	7.072932e-01	-1.300522e+01
7.228660905706514e-04	7.885087e-01	-1.300523e+01
8.205223405706515e-04	8.578641e-01	-1.300524e+01
9.181785905706516e-04	9.143166e-01	-1.300525e+01
1.015834840570652e-03	9.570168e-01	-1.300525e+01
1.113491090570652e-03	9.853227e-01	-1.300526e+01
1.211147340570652e-03	9.988084e-01	-1.300526e+01
1.308803590570652e-03	9.972710e-01	-1.300526e+01
1.406459840570652e-03	9.807338e-01	-1.300526e+01
1.504116090570652e-03	9.494454e-01	-1.300525e+01
1.601772340570652e-03	9.038765e-01	-1.300525e+01
1.699428590570652e-03	8.447124e-01	-1.300524e+01
1.797084840570652e-03	7.728431e-01	-1.300523e+01
1.894741090570652e-03	6.893495e-01	-1.300522e+01
1.992397340570652e-03	5.954875e-01	-1.300521e+01
2.090053590570652e-03	4.926687e-01	-1.300519e+01
2.187709840570652e-03	3.824398e-01	-1.300518e+01
2.285366090570651e-03	2.664586e-01	-1.300515e+01
2.334194215570651e-03	2.068534e-01	-1.300501e+01
2.383022340570651e-03	1.464696e-01	-1.300381e+01
2.431850465570651e-03	8.553459e-02	-1.299797e+01
2.467125247302774e-03	4.129988e-02	-1.288608e+01
2.504449106052884e-03	-5.590883e-03	-1.163858e+01
2.528527958237626e-03	-3.584161e-02	-8.329875e+00
2.549332590601026e-03	-6.195346e-02	-2.341069e+00
2.570679070428847e-03	-8.870121e-02	6.226817e+00
2.583222880382499e-03	-1.043904e-01	1.110032e+01
2.591589489954038e-03	-1.148408e-01	1.293151e+01
2.593011564217549e-03	-1.166158e-01	1.300388e+01
2.612582525551502e-03	-1.410332e-01	1.300430e+01
2.632153486885455e-03	-1.653312e-01	1.300464e+01
2.651724448219408e-03	-1.895097e-01	1.300490e+01
2.671295409553361e-03	-2.135687e-01	1.300508e+01
2.690866370887314e-03	-2.375084e-01	1.300517e+01
2.710437332221266e-03	-2.613285e-01	1.300519e+01
2.730008293555219e-03	-2.850293e-01	1.300513e+01
2.827664543555219e-03	-4.002186e-01	1.300513e+01
2.925320793555218e-03	-5.093884e-01	1.300513e+01
3.022977043555218e-03	-6.108964e-01	1.300513e+01
3.120633293555218e-03	-7.032160e-01	1.300513e+01
3.218289543555217e-03	-7.849586e-01	1.300513e+01
3.315945793555217e-03	-8.548946e-01	1.300513e+01
3.413602043555217e-03	-9.119723e-01	1.300513e+01
