time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	7.850922e-03
1.340424266996146e-07	8.422134e-05	7.840426e-03
2.680848533992293e-07	1.684427e-04	7.719889e-03
4.021272800988439e-07	2.526640e-04	7.489311e-03
5.361697067984585e-07	3.368854e-04	7.148691e-03
6.702121334980732e-07	4.211067e-04	6.698030e-03
8.042545601976877e-07	5.053280e-04	6.137328e-03
9.382969868973021e-07	5.895494e-04	5.466585e-03
1.545990465702957e-06	9.713743e-04	6.705939e-04
2.135895724828139e-06	1.342022e-03	-7.797440e-03
2.832497631079963e-06	1.779710e-03	-2.529291e-02
3.600970022711423e-06	2.262554e-03	-5.947729e-02
4.533820171644135e-06	2.848679e-03	-1.343299e-01
5.529818708171265e-06	3.474480e-03	-2.812884e-01
6.661789213013403e-06	4.185713e-03	-5.743665e-01
7.950918712455647e-06	4.995689e-03	-1.075355e+00
9.137395885789880e-06	5.741164e-03	-1.654095e+00
1.023467169456643e-05	6.430590e-03	-2.239471e+00
1.991043450724470e-05	1.250977e-02	-7.511868e+00
2.771281345473894e-05	1.741160e-02	-1.115446e+01
3.402689035451002e-05	2.137810e-02	-1.291572e+01
3.502289287600912e-05	2.200376e-02	-1.300081e+01
1.012377603672211e-04	6.372618e-02	-1.300317e+01
1.674526278584331e-04	1.051665e-01	-1.300495e+01
2.336674953496450e-04	1.463247e-01	-1.300616e+01
2.998823628408570e-04	1.872009e-01	-1.300678e+01
3.660972303320690e-04	2.277949e-01	-1.300682e+01
4.323120978232809e-04	2.681068e-01	-1.300628e+01
4.985269653144927e-04	3.081366e-01	-1.300517e+01
6.938394653144927e-04	4.222737e-01	-1.300518e+01
8.891519653144926e-04	5.300595e-01	-1.300520e+01
1.084464465314493e-03	6.298726e-01	-1.300521e+01
1.279776965314493e-03	7.202118e-01	-1.300522e+01
1.475089465314493e-03	7.997184e-01	-1.300523e+01
1.670401965314493e-03	8.671965e-01	-1.300524e+01
1.865714465314493e-03	9.216312e-01	-1.300525e+01
2.061026965314493e-03	9.622036e-01	-1.300525e+01
2.256339465314494e-03	9.883036e-01	-1.300526e+01
2.451651965314494e-03	9.995386e-01	-1.300526e+01
2.646964465314494e-03	9.957396e-01	-1.300526e+01
2.842276965314494e-03	9.769638e-01	-1.300526e+01
3.037589465314494e-03	9.434935e-01	-1.300525e+01
3.232901965314494e-03	8.958322e-01	-1.300525e+01
3.428214465314495e-03	8.346968e-01	-1.300524e+01
3.623526965314495e-03	7.610067e-01	-1.300523e+01
3.818839465314495e-03	6.758704e-01	-1.300522e+01
4.014151965314495e-03	5.805684e-01	-1.300520e+01
4.209464465314494e-03	4.765341e-01	-1.300519e+01
4.404776965314493e-03	3.653322e-01	-1.300517e+01
4.600089465314493e-03	2.486354e-01	-1.300516e+01
4.795401965314492e-03	1.281990e-01	-1.300514e+01
4.990714465314491e-03	5.834240e-03	-1.300513e+01
5.186026965314490e-03	-1.166182e-01	-1.300511e+01
5.381339465314490e-03	-2.373167e-01	-1.300509e+01
5.576651965314489e-03	-3.544456e-01	-1.300508e+01
5.771964465314488e-03	-4.662434e-01	-1.300506e+01
5.967276965314488e-03	-5.710284e-01	-1.300505e+01
6.162589465314487e-03	-6.672246e-01	-1.300503e+01
6.357901965314486e-03	-7.533852e-01	-1.300502e+01
6.553214465314486e-03	-8.282141e-01	-1.300501e+01
6.748526965314485e-03	-8.905860e-01	-1.300500e+01
6.943839465314484e-03	-9.395626e-01	-1.300498e+01
7.139151965314484e-03	-9.744073e-01	-1.300494e+01
7.334464465314483e-03	-9.945959e-01	-1.300489e+01
7.529776965314482e-03	-9.998250e-01	-1.300486e+01
7.725089465314481e-03	-9.900157e-01	-1.300490e+01
7.920401965314482e-03	-9.653157e-01	-1.300496e+01
8.115714465314481e-03	-9.260965e-01	-1.300499e+01
8.311026965314480e-03	-8.729479e-01	-1.300500e+01
8.506339465314480e-03	-8.066693e-01	-1.300501e+01
8.701651965314479e-03	-7.282577e-01	-1.300502e+01
8.896964465314478e-03	-6.388924e-01	-1.300504e+01
9.092276965314477e-03	-5.399176e-01	-1.300505e+01
9.287589465314477e-03	-4.328219e-01	-1.300506e+01
9.482901965314476e-03	-3.192162e-01	-1.300508e+01
9.678214465314475e-03	-2.008091e-01	-1.300510e+01
9.873526965314475e-03	-7.938174e-02	-1.300511e+01
1.016649571531447e-02	1.044216e-01	-1.300514e+01
1.036180821531447e-02	2.253778e-01	-1.300515e+01
1.055712071531447e-02	3.429441e-01	-1.300517e+01
1.075243321531447e-02	4.553522e-01	-1.300519e+01
1.094774571531447e-02	5.609114e-01	-1.300520e+01
1.114305821531447e-02	6.580338e-01	-1.300521e+01
1.133837071531447e-02	7.452589e-01	-1.300523e+01
1.153368321531447e-02	8.212746e-01	-1.300524e+01
1.172899571531447e-02	8.849376e-01	-1.300524e+01
1.192430821531447e-02	9.352903e-01	-1.300525e+01
1.211962071531447e-02	9.715753e-01	-1.300526e+01
1.231493321531447e-02	9.932470e-01	-1.300526e+01
1.251024571531447e-02	9.999793e-01	-1.300526e+01
1.270555821531446e-02	9.916710e-01	-1.300526e+01
1.290087071531446e-02	9.684470e-01	-1.300526e+01
1.309618321531446e-02	9.306566e-01	-1.300525e+01
1.329149571531446e-02	8.788683e-01	-1.300524e+01
1.348680821531446e-02	8.138611e-01	-1.300523e+01
1.368212071531446e-02	7.366126e-01	-1.300522e+01
1.387743321531446e-02	6.482847e-01	-1.300521e+01
1.407274571531446e-02	5.502061e-01	-1.300520e+01
1.426805821531446e-02	4.438519e-01	-1.300519e+01
1.446337071531446e-02	3.308217e-01	-1.300517e+01
1.465868321531446e-02	2.128156e-01	-1.300515e+01
1.485399571531446e-02	9.160858e-02	-1.300514e+01
1.514696446531446e-02	-9.220932e-02	-1.300511e+01
1.534227696531446e-02	-2.134050e-01	-1.300510e+01
1.553758946531445e-02	-3.313909e-01	-1.300508e+01
1.573290196531446e-02	-4.443924e-01	-1.300506e+01
1.592821446531446e-02	-5.507098e-01	-1.300505e+01
1.612352696531446e-02	-6.487440e-01	-1.300504e+01
1.631883946531447e-02	-7.370205e-01	-1.300502e+01
1.651415196531447e-02	-8.142115e-01	-1.300501e+01
1.670946446531447e-02	-8.791560e-01	-1.300500e+01
