time	V(a)	V(b)	V(c)
0.000000000000000e+00	2.258570e-05	1.140504e-05	8.201658e-04
2.408696428548361e-03	2.440255e-05	1.322262e-05	8.238010e-04
4.817392857096722e-03	2.504421e-05	1.386452e-05	8.250849e-04
7.226089285645083e-03	2.451065e-05	1.333077e-05	8.240173e-04
9.634785714193444e-03	2.280190e-05	1.162134e-05	8.205985e-04
1.204348214274181e-02	1.991794e-05	8.736257e-06	8.148283e-04
1.445217857129017e-02	1.585877e-05	4.675505e-06	8.067068e-04
1.686087499983852e-02	1.062441e-05	-5.609122e-07	7.962339e-04
1.720267187483853e-02	9.498395e-06	-1.687484e-06	7.939807e-04
1.754446874983853e-02	3.072354e-06	-8.115539e-06	7.811245e-04
1.788626562483854e-02	-8.653716e-06	-1.984508e-05	7.576654e-04
1.822806249983854e-02	-2.567982e-05	-3.687610e-05	7.236032e-04
1.856985937483855e-02	-4.800594e-05	-5.920860e-05	6.789381e-04
1.891165624983855e-02	-7.563210e-05	-8.684258e-05	6.236699e-04
1.925345312483856e-02	-1.085583e-04	-1.197781e-04	5.577988e-04
1.943481473198141e-02	-1.311539e-04	-1.423837e-04	5.125873e-04
1.961617633912428e-02	-1.622238e-04	-1.734652e-04	4.504240e-04
1.979753794626713e-02	-2.017678e-04	-2.130226e-04	3.713090e-04
1.997889955341000e-02	-2.497860e-04	-2.610558e-04	2.752422e-04
2.016026116055285e-02	-3.062784e-04	-3.175649e-04	1.622237e-04
2.034162276769572e-02	-3.712450e-04	-3.825498e-04	3.225337e-05
2.052298437483857e-02	-4.446858e-04	-4.560106e-04	-1.146687e-04
2.065551785698143e-02	-5.068201e-04	-5.181661e-04	-2.389803e-04
2.078805133912429e-02	-5.823043e-04	-5.936765e-04	-3.900016e-04
2.092058482126715e-02	-6.711384e-04	-6.825417e-04	-5.677326e-04
2.105311830341001e-02	-7.733224e-04	-7.847616e-04	-7.721733e-04
2.118565178555287e-02	-8.888564e-04	-9.003364e-04	-1.003324e-03
2.131818526769573e-02	-1.017740e-03	-1.029266e-03	-1.261184e-03
2.145071874983859e-02	-1.159974e-03	-1.171550e-03	-1.545754e-03
2.155535044626716e-02	-1.285814e-03	-1.297429e-03	-1.797511e-03
2.165998214269573e-02	-1.430604e-03	-1.442262e-03	-2.087179e-03
2.176461383912431e-02	-1.594344e-03	-1.606052e-03	-2.414760e-03
2.186924553555288e-02	-1.777035e-03	-1.788797e-03	-2.780251e-03
2.197387723198145e-02	-1.978676e-03	-1.990498e-03	-3.183655e-03
2.207850892841003e-02	-2.199268e-03	-2.211155e-03	-3.624970e-03
2.218314062483860e-02	-2.438809e-03	-2.450767e-03	-4.104196e-03
