name,population,birth rate,industry,income,area,,,,,,
全国,124352000,1.26,93.6,5069400,377853.76,,,,,,
北海道　　　　,5092000,1.12,90.6,4509200,83455.73,,,,,,
青森県　　　　,1184000,1.24,86.8,3838400,9606.88,,,,,,
岩手県　　　　,1163000,1.21,88.7,4088900,15278.71,,,,,,
宮城県　　　　,2264000,1.09,93.3,4550600,7285.6,,,,,,
秋田県　　　　,914000,1.18,89.7,4024000,11612.22,,,,,,
山形県　　　　,1026000,1.32,89.5,4013100,9323.39,,,,,,
福島県　　　　,1767000,1.27,90.8,4386900,13782.75,,,,,,
茨城県　　　　,2825000,1.27,91.9,4998900,6095.68,,,,,,
栃木県　　　　,1897000,1.24,92.1,5352100,6408.28,,,,,,
群馬県　　　　,1902000,1.32,92.8,4718200,6363.16,,,,,,
埼玉県　　　　,7331000,1.17,95.2,4970200,3797.3,,,,,,
千葉県　　　　,6257000,1.18,94.1,4869900,5156.68,,,,,,
東京都　　　　,14086000,1.04,95.7,5807300,2186.96,,,,,,
神奈川県　　　,9229000,1.17,96,5709400,2415.84,,,,,,
新潟県　　　　,2126000,1.27,92.8,4238500,12583.32,,,,,,
富山県　　　　,1007000,1.46,94.9,4700600,4247.39,,,,,,
石川県　　　　,1109000,1.38,95.3,4639300,4185.46,,,,,,
福井県　　　　,744000,1.5,94.7,4480300,4189.25,,,,,,
山梨県　　　　,796000,1.4,91.6,4705200,4465.37,,,,,,
長野県　　　　,2004000,1.43,89.4,4584200,13562.23,,,,,,
岐阜県　　　　,1931000,1.36,95,4690900,10621.17,,,,,,
静岡県　　　　,3555000,1.33,94.9,4959000,7780.03,,,,,,
愛知県　　　　,7477000,1.35,95.2,5320400,5164.02,,,,,,
三重県　　　　,1727000,1.4,93.4,4960000,5776.68,,,,,,
滋賀県　　　　,1407000,1.43,94.4,4902500,4017.36,,,,,,
京都府　　　　,2535000,1.18,94.5,5018100,4613,,,,,,
大阪府　　　　,8763000,1.22,95.3,5456000,1894.31,,,,,,
兵庫県　　　　,5370000,1.31,94.7,5146200,8394.92,,,,,,
奈良県　　　　,1296000,1.25,94.5,4688700,3691.09,,,,,,
和歌山県　　　,892000,1.39,88.5,4725200,4726.08,,,,,,
鳥取県　　　　,537000,1.6,89.4,3898200,3507.25,,,,,,
島根県　　　　,650000,1.57,90.9,4268600,6707.56,,,,,,
岡山県　　　　,1847000,1.39,92.8,4631600,7112.73,,,,,,
広島県　　　　,2738000,1.4,94.3,4800100,8477.92,,,,,,
山口県　　　　,1298000,1.47,94,4687600,6111.91,,,,,,
徳島県　　　　,695000,1.42,89.8,4237900,4145.33,,,,,,
香川県　　　　,926000,1.45,92.3,4451800,1876.41,,,,,,
愛媛県　　　　,1291000,1.39,90.7,4415300,5677.12,,,,,,
高知県　　　　,666000,1.36,86.7,4245400,7105.01,,,,,,
福岡県　　　　,5103000,1.33,94.3,4705500,4976.12,,,,,,
佐賀県　　　　,795000,1.53,90.4,4270200,2439.58,,,,,,
長崎県　　　　,1267000,1.57,91,4019600,4094.76,,,,,,
熊本県　　　　,1709000,1.52,89.2,4237000,7404.83,,,,,,
大分県　　　　,1096000,1.49,92,4243700,6339.32,,,,,,
宮崎県　　　　,1042000,1.63,88.2,3900900,7734.77,,,,,,
鹿児島県　　　,1549000,1.54,89.9,4136600,9187.69,,,,,,
沖縄県　　　　,1468000,1.7,5.5,3922900,2274.59,,,,,,
